Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;;;;;
GDB-0049-01;BR941-1947;Nieuwe weg;;Nieuwe weg Raamsdonk;Nieuwe weg;;;Nieuwe weg;;941;1947;NL-0834-470941;Beschikking;Bouwvergunning beschikking herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;1947.06.13;  herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;Bouwvergunning  herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.06.13;SHA-256;Niet vertrouwelijk ;;1947.06.13;NL-0834-470941;GDB-0049-01;GDB-0049-01;
GDB-0049-02;BR941-1947;Nieuwe weg;;Nieuwe weg Raamsdonk;Nieuwe weg;;;Nieuwe weg;;941;1947;NL-0834-470941;Tekening (technisch);Bouwvergunning tekening herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;1947.06.13;  herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;Bouwvergunning herbouwen woning Nieuwe Weg te Raamsdonk   13-6-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.06.13;SHA-256;Niet vertrouwelijk ;;1947.06.13;NL-0834-470941;GDB-0049-02;GDB-0049-02;
GDB-0050-01;BR946a-1947;Groensteeg;;Groensteeg;Groensteeg;;;Groensteeg;;946;1947;NL-0834-470946;Beschikking;Bouwvergunning beschikking bouwen 18 woningen Groensteeg/Keiweg Raamsdonksveer   20-6-1947;1947.06.20;  bouwen 18 woningen Groensteeg/Keiweg Raamsdonksveer   20-6-1947;Bouwvergunning bouwen 18 woningen Groensteeg/Keiweg Raamsdonksveer   20-6-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.06.20;SHA-256;Niet vertrouwelijk ;;1947.06.20;NL-0834-470946;GDB-0050-01;GDB-0050-01;
GDB-0051-01;BR946-1947;Sandoel;;Sandoel;Sandoel;;;Sandoel;;946a;1947;NL-0834-470946a;Beschikking;Bouwvergunning beschikking bouwen 14 woningen Sandoel Raamsdonksveer   20-6-1947;1947.06.20;  bouwen 14 woningen Sandoel Raamsdonksveer   20-6-1947;Bouwvergunning  bouwen 14 woningen Sandoel Raamsdonksveer   20-6-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.06.20;SHA-256;Niet vertrouwelijk ;;1947.06.20;NL-0834-470946a;GDB-0051-01;GDB-0051-01;
GDB-0052-01;BR963-1947;Putstraat;;Putstraat Raamsdonk;Putstraat;;;Putstraat;;963;1947;NL-0834-470963;Beschikking;Bouwvergunning beschikking herstellen woning Putstraat Raamsdonk   04-7-1947;1947.07.04;  herstellen woning Putstraat Raamsdonk   04-7-1947;Bouwvergunning  herstellen woning Putstraat Raamsdonk   04-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470963;GDB-0052-01;GDB-0052-01;
GDB-0053-01;BR963a-1947;Schoolplein;;Schoolplein Raamsdonksveer;Schoolplein;;;Schoolplein;;963a;1947;NL-0834-470963a;Beschikking;Bouwvergunning beschikking herstellen Henricusgebouw Schoolplein Raamsdonksveer   04-7-1947;1947.07.04;  herstellen Henricusgebouw Schoolplein Raamsdonksveer   04-7-1947;Bouwvergunning herstellen Henricusgebouw Schoolplein Raamsdonksveer   04-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470963a;GDB-0053-01;GDB-0053-01;
GDB-0054-01;BR964-1947;Keizersdijk;;Keizersdijk Raamsdonksveer ;Keizersdijk;;;Keizersdijk;;964;1947;NL-0834-470964;Beschikking;Bouwvergunning beschikking herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;1947.07.04;  herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Bouwvergunning  herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470964;GDB-0054-01;GDB-0054-01;
GDB-0054-02;BR964-1947;Keizersdijk;;Keizersdijk Raamsdonksveer ;Keizersdijk;;;Keizersdijk;;964;1947;NL-0834-470964;Tekening (technisch);Bouwvergunning tekening herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;1947.07.04;  herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Bouwvergunning  herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470964;GDB-0054-02;GDB-0054-02;
GDB-0054-03;BR964-1947;Keizersdijk;;Keizersdijk Raamsdonksveer ;Keizersdijk;;;Keizersdijk;;964;1947;NL-0834-470964;overige documenten;Bouwvergunning overige documenten herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;1947.07.04;   herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Bouwvergunning   herstellen woning Keizersdijk en garagen Raamsdonksveer   04-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.04;SHA-256;Niet vertrouwelijk ;;1947.07.04;NL-0834-470964;GDB-0054-03;GDB-0054-03;
GDB-0055-01;BR965-1947;Laan;;Laan Raamsdonk;Laan;;;Laan;;965;1947;NL-0834-470965;Beschikking;Bouwvergunning beschikking herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;1947.07.11;  herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;Bouwvergunning  herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470965;GDB-0055-01;GDB-0055-01;
GDB-0055-02;BR965-1947;Laan;;Laan Raamsdonk;Laan;;;Laan;;965;1947;NL-0834-470965;Tekening (technisch);Bouwvergunning tekening herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;1947.07.11;  herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;Bouwvergunning herstellen en verbouwen woning  aan Laan te Raamsdonk   11-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470965;GDB-0055-02;GDB-0055-02;
GDB-0056-01;BR966-1947;Prins Hendrikstraat;;Prins Hendrikstraat Raamsdonksveer;Prins Hendrikstraat;;;Prins Hendrikstraat;;966;1947;NL-0834-470966;Beschikking;Bouwvergunning beschikking herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;1947.07.11;  herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;Bouwvergunning  herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470966;GDB-0056-01;GDB-0056-01;
GDB-0056-02;BR966-1947;Prins Hendrikstraat;;Prins Hendrikstraat Raamsdonksveer;Prins Hendrikstraat;;;Prins Hendrikstraat;;966;1947;NL-0834-470966;Tekening (technisch);Bouwvergunning tekening herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;1947.07.11;  herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;Bouwvergunning  herstellen woning  Prins Hendrikstraat Raamsdonksveer   11-7-1947;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470966;GDB-0056-02;GDB-0056-02;
GDB-0057-01;BR967-1947;Stationstraat;;Stationstraat Raamsdonk;Stationstraat;;;Stationstraat;;976;1947;NL-0834-470967;Beschikking;Bouwvergunning beschikking herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;1947.07.11;  herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;Bouwvergunning  herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470967;GDB-0057-01;GDB-0057-01;
GDB-0057-02;BR967-1947;Stationstraat;;Stationstraat Raamsdonk;Stationstraat;;;Stationstraat;;967;1947;NL-0834-470967;Tekening (technisch);Bouwvergunning tekening herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;1947.07.11;  herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;Bouwvergunning  herstellen en uitbreiden woning  aan Stationstraat  Raamsdonk   11-7-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.07.11;SHA-256;Niet vertrouwelijk ;;1947.07.11;NL-0834-470967;GDB-0057-02;GDB-0057-02;
GDB-0058-01;BR969-1947;Kerkweg;;Kerkweg Raamsdonk;Kerkweg;;;Kerkweg;;969;1947;NL-0834-470969;Beschikking;Bouwvergunning beschikking herstellen en uitbreiden woning  aan Kerkweg  Raamsdonk   14-08-1947;1947.08.14;  herstellen en uitbreiden woning  aan Kerkweg  Raamsdonk   14-08-1947;Bouwvergunning  herstellen en uitbreiden woning  aan Kerkweg  Raamsdonk   14-08-1947;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Afbreken bestaande bergplaats en herbouw bergplaats op dezelfde fundering;NL 0779;2010;K50771752;;pdf;dut;datum vergunning;Bouw-en woningtoezicht;hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;1947.08.14;SHA-256;Niet vertrouwelijk ;;1947.08.14;NL-0834-470969;GDB-0058-01;GDB-0058-01;
