Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-7803-02;G004-1976;Wilhelminaplein;4931DA; Wilhelminaplein 15 t/m 17 Geertruidenberg; Wilhelminaplein;15 t/m 17;;Wilhelminaplein 15 t/m 17;4931DA;4;1976;NL-0779-760004;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vernieuwen erfafscheiding  Wilhelminaplein 15-17  Geertruidenberg 27-1-1976;1976.01.27;Vernieuwen erfafscheiding;Bouwvergunning Vernieuwen erfafscheiding  Wilhelminaplein 15-17  Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vernieuwen erfafscheiding;NL 0779;2010;K50771752;4,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7804-01;G005-1976;Stadsweg;4931EG; Stadsweg 118 Geertruidenberg; Stadsweg;118;;Stadsweg 118;4931EG;5;1976;NL-0779-760005;Beschikking;Bouwvergunning Beschikking Veranderen berging in berging / garage  Stadsweg 118 4931EG Geertruidenberg 27-1-1976;1976.01.27;Veranderen berging in berging / garage;Bouwvergunning Veranderen berging in berging / garage  Stadsweg 118 4931EG Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Veranderen berging in berging / garage;NL 0779;2010;K50771752;4,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7804-02;G005-1976;Stadsweg;4931EG; Stadsweg 118 Geertruidenberg; Stadsweg;118;;Stadsweg 118;4931EG;5;1976;NL-0779-760005;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Veranderen berging in berging / garage  Stadsweg 118 4931EG Geertruidenberg 25-1-1976;1976.01.25;Veranderen berging in berging / garage;Bouwvergunning Veranderen berging in berging / garage  Stadsweg 118 4931EG Geertruidenberg 25-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Veranderen berging in berging / garage;NL 0779;2010;K50771752;4,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7805-01;G006-1976;Schansweg;4931EM; Schansweg 27 Geertruidenberg; Schansweg;27;;Schansweg 27;4931EM;6;1976;NL-0779-760006;Beschikking;Bouwvergunning Beschikking Vergroten woning  Schansweg 27 4931EM Geertruidenberg 10-2-1976;1976.02.10;Vergroten woning;Bouwvergunning Vergroten woning  Schansweg 27 4931EM Geertruidenberg 10-2-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vergroten woning;NL 0779;2010;K50771752;5,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7805-02;G006-1976;Schansweg;4931EM; Schansweg 27 Geertruidenberg; Schansweg;27;;Schansweg 27;4931EM;6;1976;NL-0779-760006;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vergroten woning  Schansweg 27 4931EM Geertruidenberg 10-2-1976;1976.02.10;Vergroten woning;Bouwvergunning Vergroten woning  Schansweg 27 4931EM Geertruidenberg 10-2-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vergroten woning;NL 0779;2010;K50771752;20,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7806-01;G007-1976;Emiliastraat;4931GC; Emiliastraat 11 Geertruidenberg; Emiliastraat;11;;Emiliastraat 11;4931GC;7;1976;NL-0779-760007;Beschikking;Bouwvergunning Beschikking Vergroten berging  Emiliastraat 11 4931GC Geertruidenberg 10-2-1976;1976.02.10;Vergroten berging;Bouwvergunning Vergroten berging  Emiliastraat 11 4931GC Geertruidenberg 10-2-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vergroten berging;NL 0779;2010;K50771752;4,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7806-02;G007-1976;Emiliastraat;4931GC; Emiliastraat 11 Geertruidenberg; Emiliastraat;11;;Emiliastraat 11;4931GC;7;1976;NL-0779-760007;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vergroten berging  Emiliastraat 11 4931GC Geertruidenberg 10-2-1976;1976.02.10;Vergroten berging;Bouwvergunning Vergroten berging  Emiliastraat 11 4931GC Geertruidenberg 10-2-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vergroten berging;NL 0779;2010;K50771752;9,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7807-01;G008-1976;Zuidwal;4931DC; Zuidwal 41 Geertruidenberg; Zuidwal;41;;Zuidwal 41;4931DC;8;1976;NL-0779-760008;Beschikking;Bouwvergunning Beschikking Gedeeltelijk veranderen woning  Zuidwal 41 4931DC Geertruidenberg 27-1-1976;1976.01.27;Gedeeltelijk veranderen woning;Bouwvergunning Gedeeltelijk veranderen woning  Zuidwal 41 4931DC Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Gedeeltelijk veranderen woning;NL 0779;2010;K50771752;5,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7807-02;G008-1976;Zuidwal;4931DC; Zuidwal 41 Geertruidenberg; Zuidwal;41;;Zuidwal 41;4931DC;8;1976;NL-0779-760008;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Gedeeltelijk veranderen woning  Zuidwal 41 4931DC Geertruidenberg 27-1-1976;1976.01.27;Gedeeltelijk veranderen woning;Bouwvergunning Gedeeltelijk veranderen woning  Zuidwal 41 4931DC Geertruidenberg 27-1-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Gedeeltelijk veranderen woning;NL 0779;2010;K50771752;10,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
GDB-7808-01;G009-1976;Vollevensstraat;4931VC; Vollevensstraat 13 Geertruidenberg; Vollevensstraat;13;;Vollevensstraat 13;4931VC;9;1976;NL-0779-760009;Beschikking;Bouwvergunning Beschikking Vergroten hobbyruimte  Vollevensstraat 13 4931VC Geertruidenberg 16-3-1976;1976.03.16;Vergroten hobbyruimte;Bouwvergunning Vergroten hobbyruimte  Vollevensstraat 13 4931VC Geertruidenberg 16-3-1976;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vergroten hobbyruimte;NL 0779;2010;K50771752;4,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.10;Record;Archief ;;;;
