Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;;;;
GDB-4132-03;BR005-1985;Sterrekroos;4941VZ; Sterrekroos 10 Raamsdonksveer; Sterrekroos;10;;Sterrekroos 10;4941VZ;5;1985;NL-0834-850005;Overige documenten;Bouwvergunning Overige documenten Uitbreiden bedrijfsruimte  Sterrekroos 10 4941VZ Raamsdonksveer 21-1-1985;1985.01.21;Uitbreiden bedrijfsruimte;Bouwvergunning Uitbreiden bedrijfsruimte  Sterrekroos 10 4941VZ Raamsdonksveer 21-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Uitbreiden bedrijfsruimte;NL 0834;2010;K50771752;13,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4133-01;BR006-1985;Kloosterweg;4941EG; Kloosterweg 3 Raamsdonksveer; Kloosterweg;3;;Kloosterweg 3;4941EG;6;1985;NL-0834-850006;Beschikking;Bouwvergunning Beschikking Plaatsen kleedlokaal  Kloosterweg 3 4941EG Raamsdonksveer 21-1-1985;1985.01.21;Plaatsen kleedlokaal;Bouwvergunning Plaatsen kleedlokaal  Kloosterweg 3 4941EG Raamsdonksveer 21-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Plaatsen kleedlokaal;NL 0834;2010;K50771752;3,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4133-03;BR006-1985;Kloosterweg;4941EG; Kloosterweg 3 Raamsdonksveer; Kloosterweg;3;;Kloosterweg 3;4941EG;6;1985;NL-0834-850006;Overige documenten;Bouwvergunning Overige documenten Plaatsen kleedlokaal  Kloosterweg 3 4941EG Raamsdonksveer 21-1-1985;1985.01.21;Plaatsen kleedlokaal;Bouwvergunning Plaatsen kleedlokaal  Kloosterweg 3 4941EG Raamsdonksveer 21-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Plaatsen kleedlokaal;NL 0834;2010;K50771752;4,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4134-01;BR007-1985;Lissenveld;4941VL; Lissenveld 47 Raamsdonksveer; Lissenveld;47;;Lissenveld 47;4941VL;7;1985;NL-0834-850007;Beschikking;Bouwvergunning Beschikking Uitbreiden bedrijfspand  Lissenveld 47 4941VL Raamsdonksveer 21-1-1985;1985.01.21;Uitbreiden bedrijfspand;Bouwvergunning Uitbreiden bedrijfspand  Lissenveld 47 4941VL Raamsdonksveer 21-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Uitbreiden bedrijfspand;NL 0834;2010;K50771752;3,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4134-02;BR007-1985;Lissenveld;4941VL; Lissenveld 47 Raamsdonksveer; Lissenveld;47;;Lissenveld 47;4941VL;7;1985;NL-0834-850007;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Uitbreiden bedrijfspand  Lissenveld 47 4941VL Raamsdonksveer 21-1-1985;1985.01.21;Uitbreiden bedrijfspand;Bouwvergunning Uitbreiden bedrijfspand  Lissenveld 47 4941VL Raamsdonksveer 21-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Uitbreiden bedrijfspand;NL 0834;2010;K50771752;283,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4134-03;BR007-1985;Lissenveld;4941VL; Lissenveld 47 Raamsdonksveer; Lissenveld;47;;Lissenveld 47;4941VL;7;1985;NL-0834-850007;Overige documenten;Bouwvergunning Overige documenten Uitbreiden bedrijfspand  Lissenveld 47 4941VL Raamsdonksveer 21-1-1985;1985.01.21;Uitbreiden bedrijfspand;Bouwvergunning Uitbreiden bedrijfspand  Lissenveld 47 4941VL Raamsdonksveer 21-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Uitbreiden bedrijfspand;NL 0834;2010;K50771752;18,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4135-01;BR009-1985;Zijlweg;4944AV; Zijlweg 2 Raamsdonk; Zijlweg;2;;Zijlweg 2;4944AV;9;1985;NL-0834-850009;Beschikking;Bouwvergunning Beschikking Bouw kippenhok  Zijlweg 2 4944AV Raamsdonk 28-1-1985;1985.01.28;Bouw kippenhok;Bouwvergunning Bouw kippenhok  Zijlweg 2 4944AV Raamsdonk 28-1-1985;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw kippenhok;NL 0834;2010;K50771752;3,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4135-02;BR009-1985;Zijlweg;4944AV; Zijlweg 2 Raamsdonk; Zijlweg;2;;Zijlweg 2;4944AV;9;1985;NL-0834-850009;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw kippenhok  Zijlweg 2 4944AV Raamsdonk 28-1-1985;1985.01.28;Bouw kippenhok;Bouwvergunning Bouw kippenhok  Zijlweg 2 4944AV Raamsdonk 28-1-1985;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw kippenhok;NL 0834;2010;K50771752;15,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4136-01;BR010-1985;Kerkstraat;4941DN;Grote Kerkstraat 91 Raamsdonksveer;Grote Kerkstraat;91;Grote;Grote Kerkstraat 91;4941DN;10;1985;NL-0834-850010;Beschikking;Bouwvergunning Beschikking Bouw duivenhok met berging Grote Kerkstraat 91 4941DN Raamsdonksveer 28-1-1985;1985.01.28;Bouw duivenhok met berging;Bouwvergunning Bouw duivenhok met berging Grote Kerkstraat 91 4941DN Raamsdonksveer 28-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw duivenhok met berging;NL 0834;2010;K50771752;4,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4136-02;BR010-1985;Kerkstraat;4941DN;Grote Kerkstraat 91 Raamsdonksveer;Grote Kerkstraat;91;Grote;Grote Kerkstraat 91;4941DN;10;1985;NL-0834-850010;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw duivenhok met berging Grote Kerkstraat 91 4941DN Raamsdonksveer 28-1-1985;1985.01.28;Bouw duivenhok met berging;Bouwvergunning Bouw duivenhok met berging Grote Kerkstraat 91 4941DN Raamsdonksveer 28-1-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw duivenhok met berging;NL 0834;2010;K50771752;1,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
