Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;;;;
GDB-4262-01;BR144-1985;Zalmweg;4941VX; Zalmweg 24 Raamsdonksveer; Zalmweg;24;;Zalmweg 24;4941VX;144;1985;NL-0834-850144;Beschikking;Bouwvergunning Beschikking Uitbreiden kantoren  Zalmweg 24 4941VX Raamsdonksveer 16-12-1985;1985.12.16;Uitbreiden kantoren;Bouwvergunning Uitbreiden kantoren  Zalmweg 24 4941VX Raamsdonksveer 16-12-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Uitbreiden kantoren;NL 0834;2010;K50771752;3,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4262-02;BR144-1985;Zalmweg;4941VX; Zalmweg 24 Raamsdonksveer; Zalmweg;24;;Zalmweg 24;4941VX;144;1985;NL-0834-850144;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Uitbreiden kantoren  Zalmweg 24 4941VX Raamsdonksveer 16-12-1985;1985.12.16;Uitbreiden kantoren;Bouwvergunning Uitbreiden kantoren  Zalmweg 24 4941VX Raamsdonksveer 16-12-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Uitbreiden kantoren;NL 0834;2010;K50771752;52,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4262-03;BR144-1985;Zalmweg;4941VX; Zalmweg 24 Raamsdonksveer; Zalmweg;24;;Zalmweg 24;4941VX;144;1985;NL-0834-850144;Overige documenten;Bouwvergunning Overige documenten Uitbreiden kantoren  Zalmweg 24 4941VX Raamsdonksveer 16-12-1985;1985.12.16;Uitbreiden kantoren;Bouwvergunning Uitbreiden kantoren  Zalmweg 24 4941VX Raamsdonksveer 16-12-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Uitbreiden kantoren;NL 0834;2010;K50771752;40,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4263-01;BR145-1985;Donk;4942BC;Hoge donk 29 Raamsdonksveer;Hoge donk;29;Hoge;Hoge donk 29;4942BC;145;1985;NL-0834-850145;Beschikking;Bouwvergunning Beschikking Vergroten woonkamer gezinsvervangend tehuis Hoge donk 29 4942BC Raamsdonksveer 10-11-1985;1985.11.10;Vergroten woonkamer gezinsvervangend tehuis;Bouwvergunning Vergroten woonkamer gezinsvervangend tehuis Hoge donk 29 4942BC Raamsdonksveer 10-11-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vergroten woonkamer gezinsvervangend tehuis;NL 0834;2010;K50771752;3,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4263-02;BR145-1985;Donk;4942BC;Hoge donk 29 Raamsdonksveer;Hoge donk;29;Hoge;Hoge donk 29;4942BC;145;1985;NL-0834-850145;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vergroten woonkamer gezinsvervangend tehuis Hoge donk 29 4942BC Raamsdonksveer 10-11-1985;1985.11.10;Vergroten woonkamer gezinsvervangend tehuis;Bouwvergunning Vergroten woonkamer gezinsvervangend tehuis Hoge donk 29 4942BC Raamsdonksveer 10-11-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vergroten woonkamer gezinsvervangend tehuis;NL 0834;2010;K50771752;58,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4263-03;BR145-1985;Donk;4942BC;Hoge donk 29 Raamsdonksveer;Hoge donk;29;Hoge;Hoge donk 29;4942BC;145;1985;NL-0834-850145;Overige documenten;Bouwvergunning Overige documenten Vergroten woonkamer gezinsvervangend tehuis Hoge donk 29 4942BC Raamsdonksveer 10-11-1985;1985.11.10;Vergroten woonkamer gezinsvervangend tehuis;Bouwvergunning Vergroten woonkamer gezinsvervangend tehuis Hoge donk 29 4942BC Raamsdonksveer 10-11-1985;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Vergroten woonkamer gezinsvervangend tehuis;NL 0834;2010;K50771752;7,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4264-01;BR001-1986;Oomestraat;4944AM;Cornelis Oomestraat 52 Raamsdonk;Cornelis Oomestraat;52;Cornelis;Cornelis Oomestraat 52;4944AM;1;1986;NL-0834-860001;Beschikking;Bouwvergunning Beschikking Uitbreiden woning met woonkamer en kantoorruimte Cornelis Oomestraat 52 4944AM Raamsdonk 6-1-1986;1986.01.06;Uitbreiden woning met woonkamer en kantoorruimte;Bouwvergunning Uitbreiden woning met woonkamer en kantoorruimte Cornelis Oomestraat 52 4944AM Raamsdonk 6-1-1986;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Uitbreiden woning met woonkamer en kantoorruimte;NL 0834;2010;K50771752;7,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4264-02;BR001-1986;Oomestraat;4944AM;Cornelis Oomestraat 52 Raamsdonk;Cornelis Oomestraat;52;Cornelis;Cornelis Oomestraat 52;4944AM;1;1986;NL-0834-860001;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Uitbreiden woning met woonkamer en kantoorruimte Cornelis Oomestraat 52 4944AM Raamsdonk 6-1-1986;1986.01.06;Uitbreiden woning met woonkamer en kantoorruimte;Bouwvergunning Uitbreiden woning met woonkamer en kantoorruimte Cornelis Oomestraat 52 4944AM Raamsdonk 6-1-1986;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Uitbreiden woning met woonkamer en kantoorruimte;NL 0834;2010;K50771752;22,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4265-01;BR002-1986;Zalmweg;4941VX; Zalmweg 29 Raamsdonksveer; Zalmweg;29;;Zalmweg 29;4941VX;2;1986;NL-0834-860002;Beschikking;Bouwvergunning Beschikking Bouw magazijn met kantoor  Zalmweg 29 4941VX Raamsdonksveer 13-1-1986;1986.01.13;Bouw magazijn met kantoor;Bouwvergunning Bouw magazijn met kantoor  Zalmweg 29 4941VX Raamsdonksveer 13-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw magazijn met kantoor;NL 0834;2010;K50771752;1,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4265-02;BR002-1986;Zalmweg;4941VX; Zalmweg 29 Raamsdonksveer; Zalmweg;29;;Zalmweg 29;4941VX;2;1986;NL-0834-860002;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw magazijn met kantoor  Zalmweg 29 4941VX Raamsdonksveer 13-1-1986;1986.01.13;Bouw magazijn met kantoor;Bouwvergunning Bouw magazijn met kantoor  Zalmweg 29 4941VX Raamsdonksveer 13-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw magazijn met kantoor;NL 0834;2010;K50771752;55,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4265-03;BR002-1986;Zalmweg;4941VX; Zalmweg 29 Raamsdonksveer; Zalmweg;29;;Zalmweg 29;4941VX;2;1986;NL-0834-860002;Overige documenten;Bouwvergunning Overige documenten Bouw magazijn met kantoor  Zalmweg 29 4941VX Raamsdonksveer 13-1-1986;1986.01.13;Bouw magazijn met kantoor;Bouwvergunning Bouw magazijn met kantoor  Zalmweg 29 4941VX Raamsdonksveer 13-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Bouw magazijn met kantoor;NL 0834;2010;K50771752;74,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4266-01;BR003-1986;Lindonklaan;4942BJ; Lindonklaan 16 Raamsdonksveer; Lindonklaan;16;;Lindonklaan 16;4942BJ;3;1986;NL-0834-860003;Beschikking;Bouwvergunning Beschikking Veranderen en vergroten carport / berging met erfafscheiding  Lindonklaan 16 4942BJ Raamsdonksveer 13-1-1986;1986.01.13;Veranderen en vergroten carport / berging met erfafscheiding;Bouwvergunning Veranderen en vergroten carport / berging met erfafscheiding  Lindonklaan 16 4942BJ Raamsdonksveer 13-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Veranderen en vergroten carport / berging met erfafscheiding;NL 0834;2010;K50771752;4,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4266-02;BR003-1986;Lindonklaan;4942BJ; Lindonklaan 16 Raamsdonksveer; Lindonklaan;16;;Lindonklaan 16;4942BJ;3;1986;NL-0834-860003;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Veranderen en vergroten carport / berging met erfafscheiding  Lindonklaan 16 4942BJ Raamsdonksveer 13-1-1986;1986.01.13;Veranderen en vergroten carport / berging met erfafscheiding;Bouwvergunning Veranderen en vergroten carport / berging met erfafscheiding  Lindonklaan 16 4942BJ Raamsdonksveer 13-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Veranderen en vergroten carport / berging met erfafscheiding;NL 0834;2010;K50771752;5,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4267-01;BR004-1986;Everdonk;4942CM; Everdonk 39 Raamsdonksveer; Everdonk;39;;Everdonk 39;4942CM;4;1986;NL-0834-860004;Beschikking;Bouwvergunning Beschikking Veranderen en vergroten carport / berging tot garage / berging  Everdonk 39 4942CM Raamsdonksveer 13-1-1986;1986.01.13;Veranderen en vergroten carport / berging tot garage / berging;Bouwvergunning Veranderen en vergroten carport / berging tot garage / berging  Everdonk 39 4942CM Raamsdonksveer 13-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Veranderen en vergroten carport / berging tot garage / berging;NL 0834;2010;K50771752;4,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4267-02;BR004-1986;Everdonk;4942CM; Everdonk 39 Raamsdonksveer; Everdonk;39;;Everdonk 39;4942CM;4;1986;NL-0834-860004;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Veranderen en vergroten carport / berging tot garage / berging  Everdonk 39 4942CM Raamsdonksveer 13-1-1986;1986.01.13;Veranderen en vergroten carport / berging tot garage / berging;Bouwvergunning Veranderen en vergroten carport / berging tot garage / berging  Everdonk 39 4942CM Raamsdonksveer 13-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Veranderen en vergroten carport / berging tot garage / berging;NL 0834;2010;K50771752;5,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4268-01;BR005-1986;Heereplein;4941DD; Heereplein 3 Raamsdonksveer; Heereplein;3;;Heereplein 3;4941DD;5;1986;NL-0834-860005;Beschikking;Bouwvergunning Beschikking Vernieuwen en veranderen berging met speelruimte  Heereplein 3 4941DD Raamsdonksveer 6-1-1986;1986.01.06;Vernieuwen en veranderen berging met speelruimte;Bouwvergunning Vernieuwen en veranderen berging met speelruimte  Heereplein 3 4941DD Raamsdonksveer 6-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vernieuwen en veranderen berging met speelruimte;NL 0834;2010;K50771752;3,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4268-02;BR005-1986;Heereplein;4941DD; Heereplein 3 Raamsdonksveer; Heereplein;3;;Heereplein 3;4941DD;5;1986;NL-0834-860005;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vernieuwen en veranderen berging met speelruimte  Heereplein 3 4941DD Raamsdonksveer 6-1-1986;1986.01.06;Vernieuwen en veranderen berging met speelruimte;Bouwvergunning Vernieuwen en veranderen berging met speelruimte  Heereplein 3 4941DD Raamsdonksveer 6-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vernieuwen en veranderen berging met speelruimte;NL 0834;2010;K50771752;12,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4269-01;BR006-1986;Keizersdijk;4941GG; Keizersdijk 72 Raamsdonksveer; Keizersdijk;72;;Keizersdijk 72;4941GG;6;1986;NL-0834-860006;Beschikking;Bouwvergunning Beschikking Verbouwen winkel - woning tot woning  Keizersdijk 72 4941GG Raamsdonksveer 6-1-1986;1986.01.06;Verbouwen winkel - woning tot woning;Bouwvergunning Verbouwen winkel - woning tot woning  Keizersdijk 72 4941GG Raamsdonksveer 6-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Verbouwen winkel - woning tot woning;NL 0834;2010;K50771752;4,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4269-02;BR006-1986;Keizersdijk;4941GG; Keizersdijk 72 Raamsdonksveer; Keizersdijk;72;;Keizersdijk 72;4941GG;6;1986;NL-0834-860006;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Verbouwen winkel - woning tot woning  Keizersdijk 72 4941GG Raamsdonksveer 6-1-1986;1986.01.06;Verbouwen winkel - woning tot woning;Bouwvergunning Verbouwen winkel - woning tot woning  Keizersdijk 72 4941GG Raamsdonksveer 6-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Verbouwen winkel - woning tot woning;NL 0834;2010;K50771752;22,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4270-01;BR007-1986;Lindonklaan;4942BH; Lindonklaan 35 t/m 45 Raamsdonksveer; Lindonklaan;35 t/m 45;;Lindonklaan 35 t/m 45;4942BH;7;1986;NL-0834-860007;Beschikking;Bouwvergunning Beschikking Bouw 5 erkerwoningen  Lindonklaan 35 t/m 45  Raamsdonksveer 20-1-1986;1986.01.20;Bouw 5 erkerwoningen;Bouwvergunning Bouw 5 erkerwoningen  Lindonklaan 35 t/m 45  Raamsdonksveer 20-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw 5 erkerwoningen;NL 0834;2010;K50771752;5,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4270-02;BR007-1986;Lindonklaan;4942BH; Lindonklaan 35 t/m 45 Raamsdonksveer; Lindonklaan;35 t/m 45;;Lindonklaan 35 t/m 45;4942BH;7;1986;NL-0834-860007;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw 5 erkerwoningen  Lindonklaan 35 t/m 45  Raamsdonksveer 20-1-1986;1986.01.20;Bouw 5 erkerwoningen;Bouwvergunning Bouw 5 erkerwoningen  Lindonklaan 35 t/m 45  Raamsdonksveer 20-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw 5 erkerwoningen;NL 0834;2010;K50771752;29,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4270-03;BR007-1986;Lindonklaan;4942BH; Lindonklaan 35 t/m 45 Raamsdonksveer; Lindonklaan;35 t/m 45;;Lindonklaan 35 t/m 45;4942BH;7;1986;NL-0834-860007;Overige documenten;Bouwvergunning Overige documenten Bouw 5 erkerwoningen  Lindonklaan 35 t/m 45  Raamsdonksveer 20-1-1986;1986.01.20;Bouw 5 erkerwoningen;Bouwvergunning Bouw 5 erkerwoningen  Lindonklaan 35 t/m 45  Raamsdonksveer 20-1-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Bouw 5 erkerwoningen;NL 0834;2010;K50771752;25,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4271-01;BR008-1986;Stationstraat;4944AK; Stationstraat 18 Raamsdonk; Stationstraat;18;;Stationstraat 18;4944AK;8;1986;NL-0834-860008;Beschikking;Bouwvergunning Beschikking Bouw garage  Stationstraat 18 4944AK Raamsdonk 4-2-1986;1986.02.04;Bouw garage;Bouwvergunning Bouw garage  Stationstraat 18 4944AK Raamsdonk 4-2-1986;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw garage;NL 0834;2010;K50771752;4,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4271-02;BR008-1986;Stationstraat;4944AK; Stationstraat 18 Raamsdonk; Stationstraat;18;;Stationstraat 18;4944AK;8;1986;NL-0834-860008;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw garage  Stationstraat 18 4944AK Raamsdonk 4-2-1986;1986.02.04;Bouw garage;Bouwvergunning Bouw garage  Stationstraat 18 4944AK Raamsdonk 4-2-1986;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw garage;NL 0834;2010;K50771752;8,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4272-01;BR009-1986;Lissenveld;4941VL; Lissenveld 41 Raamsdonksveer; Lissenveld;41;;Lissenveld 41;4941VL;9;1986;NL-0834-860009;Beschikking;Bouwvergunning Beschikking Aanbouwen kantoorruimte  Lissenveld 41 4941VL Raamsdonksveer 10-2-1986;1986.02.10;Aanbouwen kantoorruimte;Bouwvergunning Aanbouwen kantoorruimte  Lissenveld 41 4941VL Raamsdonksveer 10-2-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Aanbouwen kantoorruimte;NL 0834;2010;K50771752;6,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4272-02;BR009-1986;Lissenveld;4941VL; Lissenveld 41 Raamsdonksveer; Lissenveld;41;;Lissenveld 41;4941VL;9;1986;NL-0834-860009;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Aanbouwen kantoorruimte  Lissenveld 41 4941VL Raamsdonksveer 10-2-1986;1986.02.10;Aanbouwen kantoorruimte;Bouwvergunning Aanbouwen kantoorruimte  Lissenveld 41 4941VL Raamsdonksveer 10-2-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Aanbouwen kantoorruimte;NL 0834;2010;K50771752;112,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4272-03;BR009-1986;Lissenveld;4941VL; Lissenveld 41 Raamsdonksveer; Lissenveld;41;;Lissenveld 41;4941VL;9;1986;NL-0834-860009;Overige documenten;Bouwvergunning Overige documenten Aanbouwen kantoorruimte  Lissenveld 41 4941VL Raamsdonksveer 10-2-1986;1986.02.10;Aanbouwen kantoorruimte;Bouwvergunning Aanbouwen kantoorruimte  Lissenveld 41 4941VL Raamsdonksveer 10-2-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Aanbouwen kantoorruimte;NL 0834;2010;K50771752;12,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4273-01;BR010-1986;Oeverkruid;4941VV; Oeverkruid 13 Raamsdonksveer; Oeverkruid;13;;Oeverkruid 13;4941VV;10;1986;NL-0834-860010;Beschikking;Bouwvergunning Beschikking Vergroten kantoorpand  Oeverkruid 13 4941VV Raamsdonksveer 10-2-1986;1986.02.10;Vergroten kantoorpand;Bouwvergunning Vergroten kantoorpand  Oeverkruid 13 4941VV Raamsdonksveer 10-2-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vergroten kantoorpand;NL 0834;2010;K50771752;3,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-4273-02;BR010-1986;Oeverkruid;4941VV; Oeverkruid 13 Raamsdonksveer; Oeverkruid;13;;Oeverkruid 13;4941VV;10;1986;NL-0834-860010;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vergroten kantoorpand  Oeverkruid 13 4941VV Raamsdonksveer 10-2-1986;1986.02.10;Vergroten kantoorpand;Bouwvergunning Vergroten kantoorpand  Oeverkruid 13 4941VV Raamsdonksveer 10-2-1986;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vergroten kantoorpand;NL 0834;2010;K50771752;50,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
