Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-5004-03;BR004-1991;Ramgatseweg;4941VS; Ramgatseweg 14 Raamsdonksveer; Ramgatseweg;14;;Ramgatseweg 14;4941VS;4;1991;NL-0834-910004;Overige documenten;Bouwvergunning Overige documenten Bouw kantoorruimte  Ramgatseweg 14 4941VS Raamsdonksveer 21-1-1991;1991.01.21;Bouw kantoorruimte;Bouwvergunning Bouw kantoorruimte  Ramgatseweg 14 4941VS Raamsdonksveer 21-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Bouw kantoorruimte;NL 0834;2010;K50771752;1,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5005-01;BR005-1991;Voshoornweg;4944CA; Voshoornweg 3 Raamsdonk; Voshoornweg;3;;Voshoornweg 3;4944CA;5;1991;NL-0834-910005;Beschikking;Bouwvergunning Beschikking Oprichten geitenstal  Voshoornweg 3 4944CA Raamsdonk 21-1-1991;1991.01.21;Oprichten geitenstal;Bouwvergunning Oprichten geitenstal  Voshoornweg 3 4944CA Raamsdonk 21-1-1991;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Oprichten geitenstal;NL 0834;2010;K50771752;3,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5005-02;BR005-1991;Voshoornweg;4944CA; Voshoornweg 3 Raamsdonk; Voshoornweg;3;;Voshoornweg 3;4944CA;5;1991;NL-0834-910005;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Oprichten geitenstal  Voshoornweg 3 4944CA Raamsdonk 21-1-1991;1991.01.21;Oprichten geitenstal;Bouwvergunning Oprichten geitenstal  Voshoornweg 3 4944CA Raamsdonk 21-1-1991;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Oprichten geitenstal;NL 0834;2010;K50771752;46,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5005-03;BR005-1991;Voshoornweg;4944CA; Voshoornweg 3 Raamsdonk; Voshoornweg;3;;Voshoornweg 3;4944CA;5;1991;NL-0834-910005;Overige documenten;Bouwvergunning Overige documenten Oprichten geitenstal  Voshoornweg 3 4944CA Raamsdonk 21-1-1991;1991.01.21;Oprichten geitenstal;Bouwvergunning Oprichten geitenstal  Voshoornweg 3 4944CA Raamsdonk 21-1-1991;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Oprichten geitenstal;NL 0834;2010;K50771752;5,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5006-01;BR007-1991;Forellenweg;4941SJ; Forellenweg 10 Raamsdonksveer; Forellenweg;10;;Forellenweg 10;4941SJ;7;1991;NL-0834-910007;Beschikking;Bouwvergunning Beschikking Bouw opslag met kantoorruimte  Forellenweg 10  Raamsdonksveer 25-1-1991;1991.01.25;Bouw opslag met kantoorruimte;Bouwvergunning Bouw opslag met kantoorruimte  Forellenweg 10  Raamsdonksveer 25-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw opslag met kantoorruimte;NL 0834;2010;K50771752;4,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5006-02;BR007-1991;Forellenweg;4941SJ; Forellenweg 10 Raamsdonksveer; Forellenweg;10;;Forellenweg 10;4941SJ;7;1991;NL-0834-910007;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw opslag met kantoorruimte  Forellenweg 10  Raamsdonksveer 25-1-1991;1991.01.25;Bouw opslag met kantoorruimte;Bouwvergunning Bouw opslag met kantoorruimte  Forellenweg 10  Raamsdonksveer 25-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw opslag met kantoorruimte;NL 0834;2010;K50771752;23,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5006-03;BR007-1991;Forellenweg;4941SJ; Forellenweg 10 Raamsdonksveer; Forellenweg;10;;Forellenweg 10;4941SJ;7;1991;NL-0834-910007;Overige documenten;Bouwvergunning Overige documenten Bouw opslag met kantoorruimte  Forellenweg 10  Raamsdonksveer 25-1-1991;1991.01.25;Bouw opslag met kantoorruimte;Bouwvergunning Bouw opslag met kantoorruimte  Forellenweg 10  Raamsdonksveer 25-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Bouw opslag met kantoorruimte;NL 0834;2010;K50771752;29,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5007-01;BR008-1991;Beethovenlaan;4941WC; Beethovenlaan 38 Raamsdonksveer; Beethovenlaan;38;;Beethovenlaan 38;4941WC;8;1991;NL-0834-910008;Beschikking;Bouwvergunning Beschikking Uitbreiden woning  Beethovenlaan 38 4941WC Raamsdonksveer 31-1-1991;1991.01.31;Uitbreiden woning;Bouwvergunning Uitbreiden woning  Beethovenlaan 38 4941WC Raamsdonksveer 31-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Uitbreiden woning;NL 0834;2010;K50771752;4,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5007-02;BR008-1991;Beethovenlaan;4941WC; Beethovenlaan 38 Raamsdonksveer; Beethovenlaan;38;;Beethovenlaan 38;4941WC;8;1991;NL-0834-910008;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Uitbreiden woning  Beethovenlaan 38 4941WC Raamsdonksveer 31-1-1991;1991.01.31;Uitbreiden woning;Bouwvergunning Uitbreiden woning  Beethovenlaan 38 4941WC Raamsdonksveer 31-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Uitbreiden woning;NL 0834;2010;K50771752;15,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5007-03;BR008-1991;Beethovenlaan;4941WC; Beethovenlaan 38 Raamsdonksveer; Beethovenlaan;38;;Beethovenlaan 38;4941WC;8;1991;NL-0834-910008;Overige documenten;Bouwvergunning Overige documenten Uitbreiden woning  Beethovenlaan 38 4941WC Raamsdonksveer 31-1-1991;1991.01.31;Uitbreiden woning;Bouwvergunning Uitbreiden woning  Beethovenlaan 38 4941WC Raamsdonksveer 31-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Uitbreiden woning;NL 0834;2010;K50771752;1,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5008-01;BR009-1991;Forellenweg;; Forellenweg  Raamsdonksveer; Forellenweg;;;Forellenweg;;9;1991;NL-0834-910009;Beschikking;Bouwvergunning Beschikking Oprichten bedrijfshal met kantoor  Forellenweg   Raamsdonksveer 8-2-1991;1991.02.08;Oprichten bedrijfshal met kantoor;Bouwvergunning Oprichten bedrijfshal met kantoor  Forellenweg   Raamsdonksveer 8-2-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Oprichten bedrijfshal met kantoor;NL 0834;2010;K50771752;4,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5008-02;BR009-1991;Forellenweg;; Forellenweg  Raamsdonksveer; Forellenweg;;;Forellenweg;;9;1991;NL-0834-910009;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Oprichten bedrijfshal met kantoor  Forellenweg   Raamsdonksveer 8-2-1991;1991.02.08;Oprichten bedrijfshal met kantoor;Bouwvergunning Oprichten bedrijfshal met kantoor  Forellenweg   Raamsdonksveer 8-2-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Oprichten bedrijfshal met kantoor;NL 0834;2010;K50771752;45,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5008-03;BR009-1991;Forellenweg;; Forellenweg  Raamsdonksveer; Forellenweg;;;Forellenweg;;9;1991;NL-0834-910009;Overige documenten;Bouwvergunning Overige documenten Oprichten bedrijfshal met kantoor  Forellenweg   Raamsdonksveer 8-2-1991;1991.02.08;Oprichten bedrijfshal met kantoor;Bouwvergunning Oprichten bedrijfshal met kantoor  Forellenweg   Raamsdonksveer 8-2-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Oprichten bedrijfshal met kantoor;NL 0834;2010;K50771752;37,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5009-01;BR010-1991;Meerval;; Meerval  Raamsdonksveer; Meerval;;;Meerval;;10;1991;NL-0834-910010;Beschikking;Bouwvergunning Beschikking Oprichten bedrijfshal met kantoor  Meerval   Raamsdonksveer 8-2-1991;1991.02.08;Oprichten bedrijfshal met kantoor;Bouwvergunning Oprichten bedrijfshal met kantoor  Meerval   Raamsdonksveer 8-2-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Oprichten bedrijfshal met kantoor;NL 0834;2010;K50771752;4,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5009-02;BR010-1991;Meerval;; Meerval  Raamsdonksveer; Meerval;;;Meerval;;10;1991;NL-0834-910010;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Oprichten bedrijfshal met kantoor  Meerval   Raamsdonksveer 8-2-1991;1991.02.08;Oprichten bedrijfshal met kantoor;Bouwvergunning Oprichten bedrijfshal met kantoor  Meerval   Raamsdonksveer 8-2-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Oprichten bedrijfshal met kantoor;NL 0834;2010;K50771752;146,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5009-03;BR010-1991;Meerval;; Meerval  Raamsdonksveer; Meerval;;;Meerval;;10;1991;NL-0834-910010;Overige documenten;Bouwvergunning Overige documenten Oprichten bedrijfshal met kantoor  Meerval   Raamsdonksveer 8-2-1991;1991.02.08;Oprichten bedrijfshal met kantoor;Bouwvergunning Oprichten bedrijfshal met kantoor  Meerval   Raamsdonksveer 8-2-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Oprichten bedrijfshal met kantoor;NL 0834;2010;K50771752;56,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5010-01;BR011-1991;Lipshof;4941BT;Dr. Lipshof 1 Raamsdonksveer;Dr. Lipshof;1;Dr.;Dr. Lipshof 1;4941BT;11;1991;NL-0834-910011;Beschikking;Bouwvergunning Beschikking Plaatsen berging Dr. Lipshof 1  Raamsdonksveer 8-2-1991;1991.02.08;Plaatsen berging;Bouwvergunning Plaatsen berging Dr. Lipshof 1  Raamsdonksveer 8-2-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Plaatsen berging;NL 0834;2010;K50771752;3,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.12;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5010-02;BR011-1991;Lipshof;4941BT;Dr. Lipshof 1 Raamsdonksveer;Dr. Lipshof;1;Dr.;Dr. Lipshof 1;4941BT;11;1991;NL-0834-910011;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Plaatsen berging Dr. Lipshof 1  Raamsdonksveer 8-2-1991;1991.02.08;Plaatsen berging;Bouwvergunning Plaatsen berging Dr. Lipshof 1  Raamsdonksveer 8-2-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Plaatsen berging;NL 0834;2010;K50771752;3,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.12;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5011-01;BR012-1991;Bliek;4941SG; Bliek 18 Raamsdonksveer; Bliek;18;;Bliek 18;4941SG;12;1991;NL-0834-910012;Beschikking;Bouwvergunning Beschikking Bouw bedrijfshal met kantoorruimte  Bliek 18 4941SG Raamsdonksveer 8-2-1991;1991.02.08;Bouw bedrijfshal met kantoorruimte;Bouwvergunning Bouw bedrijfshal met kantoorruimte  Bliek 18 4941SG Raamsdonksveer 8-2-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw bedrijfshal met kantoorruimte;NL 0834;2010;K50771752;5,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.12;Record;Archief ;;;;Niet vertrouwelijk 
