Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-5001-01;BR001-1991;Wilhelminalaan;4941GJ; Wilhelminalaan 1 Raamsdonksveer; Wilhelminalaan;1;;Wilhelminalaan 1;4941GJ;1;1991;NL-0834-910001;Beschikking;Bouwvergunning beschikking Deels verbouwen winkelpand tot kantoor  Wilhelminalaan 1 4941GJ Raamsdonksveer 17-1-1991;1991.01.17;Deels verbouwen winkelpand tot kantoor;Bouwvergunning Deels verbouwen winkelpand tot kantoor  Wilhelminalaan 1 4941GJ Raamsdonksveer 17-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Deels verbouwen winkelpand tot kantoor;NL 0834;2010;K50771752;17,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5001-02;BR001-1991;Wilhelminalaan;4941GJ; Wilhelminalaan 1 Raamsdonksveer; Wilhelminalaan;1;;Wilhelminalaan 1;4941GJ;1;1991;NL-0834-910001;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Deels verbouwen winkelpand tot kantoor  Wilhelminalaan 1 4941GJ Raamsdonksveer 17-1-1991;1991.01.17;Deels verbouwen winkelpand tot kantoor;Bouwvergunning Deels verbouwen winkelpand tot kantoor  Wilhelminalaan 1 4941GJ Raamsdonksveer 17-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Deels verbouwen winkelpand tot kantoor;NL 0834;2010;K50771752;17,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5002-01;BR002-1991;Molenstraat;4944AB; Molenstraat 41 t/m 43 Raamsdonk; Molenstraat;41 t/m 43;;Molenstraat 41 t/m 43;4944AB;2;1991;NL-0834-910002;Beschikking;Bouwvergunning Beschikking Herbouwen woning  Molenstraat 41-43  Raamsdonk 21-1-1991;1991.01.21;Herbouwen woning;Bouwvergunning Herbouwen woning  Molenstraat 41-43  Raamsdonk 21-1-1991;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Herbouwen woning;NL 0834;2010;K50771752;8,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5002-02;BR002-1991;Molenstraat;4944AB; Molenstraat 41 t/m 43 Raamsdonk; Molenstraat;41 t/m 43;;Molenstraat 41 t/m 43;4944AB;2;1991;NL-0834-910002;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Herbouwen woning  Molenstraat 41-43  Raamsdonk 21-1-1991;1991.01.21;Herbouwen woning;Bouwvergunning Herbouwen woning  Molenstraat 41-43  Raamsdonk 21-1-1991;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Herbouwen woning;NL 0834;2010;K50771752;59,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5002-03;BR002-1991;Molenstraat;4944AB; Molenstraat 41 t/m 43 Raamsdonk; Molenstraat;41 t/m 43;;Molenstraat 41 t/m 43;4944AB;2;1991;NL-0834-910002;Overige documenten;Bouwvergunning Overige documenten Herbouwen woning  Molenstraat 41-43  Raamsdonk 21-1-1991;1991.01.21;Herbouwen woning;Bouwvergunning Herbouwen woning  Molenstraat 41-43  Raamsdonk 21-1-1991;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Herbouwen woning;NL 0834;2010;K50771752;24,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5003-01;BR003-1991;Forellenweg;4941SJ; Forellenweg  6 Raamsdonksveer; Forellenweg;6;;Forellenweg 6;4941SJ;3;1991;NL-0834-910003;Beschikking;Bouwvergunning Beschikking Oprichten bedrijfsruimte  Forellenweg   Raamsdonksveer 18-1-1991;1991.01.18;Oprichten bedrijfsruimte;Bouwvergunning Oprichten bedrijfsruimte  Forellenweg   Raamsdonksveer 18-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Oprichten bedrijfsruimte;NL 0834;2010;K50771752;4,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5003-02;BR003-1991;Forellenweg;4941SJ; Forellenweg  6 Raamsdonksveer; Forellenweg;6;;Forellenweg 6;4941SJ;3;1991;NL-0834-910003;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Oprichten bedrijfsruimte  Forellenweg   Raamsdonksveer 18-1-1991;1991.01.18;Oprichten bedrijfsruimte;Bouwvergunning Oprichten bedrijfsruimte  Forellenweg   Raamsdonksveer 18-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Oprichten bedrijfsruimte;NL 0834;2010;K50771752;100,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5003-03;BR003-1991;Forellenweg;4941SJ; Forellenweg  6 Raamsdonksveer; Forellenweg;6;;Forellenweg 6;4941SJ;3;1991;NL-0834-910003;Overige documenten;Bouwvergunning Overige documenten Oprichten bedrijfsruimte  Forellenweg   Raamsdonksveer 18-1-1991;1991.01.18;Oprichten bedrijfsruimte;Bouwvergunning Oprichten bedrijfsruimte  Forellenweg   Raamsdonksveer 18-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Oprichten bedrijfsruimte;NL 0834;2010;K50771752;7,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5004-01;BR004-1991;Ramgatseweg;4941VS; Ramgatseweg 14 Raamsdonksveer; Ramgatseweg;14;;Ramgatseweg 14;4941VS;4;1991;NL-0834-910004;Beschikking;Bouwvergunning Beschikking Bouw kantoorruimte  Ramgatseweg 14 4941VS Raamsdonksveer 21-1-1991;1991.01.21;Bouw kantoorruimte;Bouwvergunning Bouw kantoorruimte  Ramgatseweg 14 4941VS Raamsdonksveer 21-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw kantoorruimte;NL 0834;2010;K50771752;4,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
GDB-5004-02;BR004-1991;Ramgatseweg;4941VS; Ramgatseweg 14 Raamsdonksveer; Ramgatseweg;14;;Ramgatseweg 14;4941VS;4;1991;NL-0834-910004;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw kantoorruimte  Ramgatseweg 14 4941VS Raamsdonksveer 21-1-1991;1991.01.21;Bouw kantoorruimte;Bouwvergunning Bouw kantoorruimte  Ramgatseweg 14 4941VS Raamsdonksveer 21-1-1991;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw kantoorruimte;NL 0834;2010;K50771752;10,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.11.06;Record;Archief ;;;;Niet vertrouwelijk 
