Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-0620-01;BR003-1958;Berkenstraat;4941KT; Berkenstraat 29 Raamsdonksveer; Berkenstraat;29;;Berkenstraat 29;4941KT;3;1958;NL-0834-580003;Beschikking;Bouwvergunning Beschikking Bouw volière  Berkenstraat 29 4941KT Raamsdonksveer 3-1-1958;1958.01.03;Bouw volière;Bouwvergunning Bouw volière  Berkenstraat 29 4941KT Raamsdonksveer 3-1-1958;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw volière;NL 0834;2010;K50771752;2,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-0620-02;BR003-1958;Berkenstraat;4941KT; Berkenstraat 29 Raamsdonksveer; Berkenstraat;29;;Berkenstraat 29;4941KT;3;1958;NL-0834-580003;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw volière  Berkenstraat 29 4941KT Raamsdonksveer 3-1-1958;1958.01.03;Bouw volière;Bouwvergunning Bouw volière  Berkenstraat 29 4941KT Raamsdonksveer 3-1-1958;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw volière;NL 0834;2010;K50771752;50,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
