Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;;;;
GDB-2588-02;BR011-1975;Landonk;4941BN; Landonk 86 Raamsdonksveer; Landonk;86;;Landonk 86;4941BN;11;1975;NL-0834-750011;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw garage  Landonk 86 4941BN Raamsdonksveer 29-1-1975;1975.01.29;Bouw garage;Bouwvergunning Bouw garage  Landonk 86 4941BN Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw garage;NL 0834;2010;K50771752;10,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2589-01;BR012-1975;Hoofdstraat;4941DC; Hoofdstraat 20 Raamsdonksveer; Hoofdstraat;20;;Hoofdstraat 20;4941DC;12;1975;NL-0834-750012;Beschikking;Bouwvergunning Beschikking Verbouwen winkel  Hoofdstraat 20 4941DC Raamsdonksveer 15-1-1975;1975.01.15;Verbouwen winkel;Bouwvergunning Verbouwen winkel  Hoofdstraat 20 4941DC Raamsdonksveer 15-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Verbouwen winkel;NL 0834;2010;K50771752;3,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2589-02;BR012-1975;Hoofdstraat;4941DC; Hoofdstraat 20 Raamsdonksveer; Hoofdstraat;20;;Hoofdstraat 20;4941DC;12;1975;NL-0834-750012;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Verbouwen winkel  Hoofdstraat 20 4941DC Raamsdonksveer 15-1-1975;1975.01.15;Verbouwen winkel;Bouwvergunning Verbouwen winkel  Hoofdstraat 20 4941DC Raamsdonksveer 15-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Verbouwen winkel;NL 0834;2010;K50771752;32,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2590-01;BR013-1975;Beethovenlaan;4941WC; Beethovenlaan 26 Raamsdonksveer; Beethovenlaan;26;;Beethovenlaan 26;4941WC;13;1975;NL-0834-750013;Beschikking;Bouwvergunning Beschikking Bouw woning met garage  Beethovenlaan 26 4941WC Raamsdonksveer 29-1-1975;1975.01.29;Bouw woning met garage;Bouwvergunning Bouw woning met garage  Beethovenlaan 26 4941WC Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw woning met garage;NL 0834;2010;K50771752;5,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2590-02;BR013-1975;Beethovenlaan;4941WC; Beethovenlaan 26 Raamsdonksveer; Beethovenlaan;26;;Beethovenlaan 26;4941WC;13;1975;NL-0834-750013;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw woning met garage  Beethovenlaan 26 4941WC Raamsdonksveer 29-1-1975;1975.01.29;Bouw woning met garage;Bouwvergunning Bouw woning met garage  Beethovenlaan 26 4941WC Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw woning met garage;NL 0834;2010;K50771752;59,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2590-03;BR013-1975;Beethovenlaan;4941WC; Beethovenlaan 26 Raamsdonksveer; Beethovenlaan;26;;Beethovenlaan 26;4941WC;13;1975;NL-0834-750013;Overige documenten;Bouwvergunning Overige documenten Bouw woning met garage  Beethovenlaan 26 4941WC Raamsdonksveer 29-1-1975;1975.01.29;Bouw woning met garage;Bouwvergunning Bouw woning met garage  Beethovenlaan 26 4941WC Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Bouw woning met garage;NL 0834;2010;K50771752;5,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2591-01;BR015-1975;Molenstraat;4944AA; Molenstraat 11 Raamsdonk; Molenstraat;11;;Molenstraat 11;4944AA;15;1975;NL-0834-750015;Beschikking;Bouwvergunning Beschikking Bouw garage  Molenstraat 11 4944AA Raamsdonk 29-1-1975;1975.01.29;Bouw garage;Bouwvergunning Bouw garage  Molenstraat 11 4944AA Raamsdonk 29-1-1975;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw garage;NL 0834;2010;K50771752;4,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2591-02;BR015-1975;Molenstraat;4944AA; Molenstraat 11 Raamsdonk; Molenstraat;11;;Molenstraat 11;4944AA;15;1975;NL-0834-750015;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw garage  Molenstraat 11 4944AA Raamsdonk 29-1-1975;1975.01.29;Bouw garage;Bouwvergunning Bouw garage  Molenstraat 11 4944AA Raamsdonk 29-1-1975;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw garage;NL 0834;2010;K50771752;10,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2592-01;BR016-1975;Raadhuisstraat;4944VJ; Raadhuisstraat 54 Raamsdonk; Raadhuisstraat;54;;Raadhuisstraat 54;4944VJ;16;1975;NL-0834-750016;Beschikking;Bouwvergunning Beschikking Verbouwen woning  Raadhuisstraat 54 4944VJ Raamsdonk 29-1-1975;1975.01.29;Verbouwen woning;Bouwvergunning Verbouwen woning  Raadhuisstraat 54 4944VJ Raamsdonk 29-1-1975;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Verbouwen woning;NL 0834;2010;K50771752;3,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-2593-01;BR017-1975;Keizersdijk;4941GD; Keizersdijk 89 Raamsdonksveer; Keizersdijk;89;;Keizersdijk 89;4941GD;17;1975;NL-0834-750017;Beschikking;Bouwvergunning Beschikking Bouw toilettengroep annex wasgelegenheid  Keizersdijk 89 4941GD Raamsdonksveer 29-1-1975;1975.01.29;Bouw toilettengroep annex wasgelegenheid;Bouwvergunning Bouw toilettengroep annex wasgelegenheid  Keizersdijk 89 4941GD Raamsdonksveer 29-1-1975;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw toilettengroep annex wasgelegenheid;NL 0834;2010;K50771752;4,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
