Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;1993.01.07;NL-0834-931001;GDB-9248-01;GDB-9248-01
GDB-9282-02;;;4942 DM;Simon Vestdijkstraat 29 Raamsdonksveer;;;;;;;;NL-0834-931035;tekening (technisch);Melding tekening oprichten tuinhuisje Simon Vestdijkstraat 29 Raamsdonksveer 03-9-1993;1993.09.03;oprichten tuinhuisje Simon Vestdijkstraat 29 Raamsdonksveer 032-9-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;99b4d6628667dcb7624c7c77b209b0cef4ae87ae;;SHA-1;Niet vertrouwelijk ;;1993.09.06;NL-0834-931036;GDB-9283-01;GDB-9283-01
GDB-9283-01;;;4944 AS;Luiten Ambachtstraat 5 Raamsdonk;;;;;;;;NL-0834-931036;Beschikking;Melding beschikking oprichten berging/garage Luiten Ambachtstraat 5 Raamsdonk 06-9-1993;1993.09.06;oprichten berging/garage Luiten Ambachtstraat 5 Raamsdonk 06-9-1993;;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;94e10d618a45dee4aeaa30b27d1895582287a93c;;SHA-1;Niet vertrouwelijk ;;1993.09.06;NL-0834-931036;GDB-9283-02;GDB-9283-02
GDB-9283-02;;;4944 AS;Luiten Ambachtstraat 5 Raamsdonk;;;;;;;;NL-0834-931036;Tekening (technisch);Melding tekening oprichten berging/garage Luiten Ambachtstraat 5 Raamsdonk 06-9-1993;1993.09.06;oprichten berging/garage Luiten Ambachtstraat 5 Raamsdonk 06-9-1993;;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;246172381620693adac5170a01e056b6f7d1a651;;SHA-1;Niet vertrouwelijk ;;1993.09.06;NL-0834-931037;GDB-9284-01;GDB-9284-01
GDB-9284-01;;;4941 VL;Lissenveld 49 Raamsdonksveer;;;;;;;;NL-0834-931037;Beschikking;Melding beschikking oprichten trafostation Lissenveld 49 Raamsdonksveer 06-9-1993;1993.09.06;oprichten trafostation Lissenveld 49 Raamsdonksveer 06-9-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;1202899c9796aef6d0632f898d8a68dc4263ae6c;;SHA-1;Niet vertrouwelijk ;;1993.09.06;NL-0834-931037;GDB-9284-02;GDB-9284-02
GDB-9284-02;;;4941 VL;Lissenveld 49 Raamsdonksveer;;;;;;;;NL-0834-931037;Tekening (technisch);Melding tekening oprichten trafostation Lissenveld 49 Raamsdonksveer 06-9-1993;1993.09.06;oprichten trafostation Lissenveld 49 Raamsdonksveer 06-9-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;bceddc43e3e182b9b51b1ffeed4dd4cdcc213096;;SHA-1;Niet vertrouwelijk ;;1993.09.20;NL-0834-931038;GDB-9285-01;GDB-9285-01
GDB-9285-01;;;4942 BG;Eikendonk 22 Raamsdonksveer;;;;;;;;NL-0834-931038;Beschikking;Melding beschikking oprichten tuinhuisje Eikendonk 22 Raamsdonksveer 20-9-1993;1993.09.20;oprichten tuinhuisje Eikendonk 22 Raamsdonksveer 20-9-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;4d61e104b87ebb951157e6b422aecf6af63f70c2;;SHA-1;Niet vertrouwelijk ;;1993.09.20;NL-0834-931038;GDB-9285-02;GDB-9285-02
GDB-9285-02;;;4942 BG;Eikendonk 22 Raamsdonksveer;;;;;;;;NL-0834-931038;Tekening (technisch);Melding tekening oprichten tuinhuisje Eikendonk 22 Raamsdonksveer 20-9-1993;1993.09.20;oprichten tuinhuisje Eikendonk 22 Raamsdonksveer 20-9-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;c0c981e536ec8d7c1cdd5344499c045fac9aa445;;SHA-1;Niet vertrouwelijk ;;1993.10.28;NL-0834-931039;GDB-9286-01;GDB-9286-01
GDB-9286-01;;;4941 JG;Julianalaan 104 Raamsdonksveer;;;;;;;;NL-0834-931039;Beschikking;Melding beschikking oprichten tuinhuisje Julianalaan 104 Raamsdonksveer 28-10-1993;1993.10.28;oprichten tuinhuisje Julianalaan 104 Raamsdonksveer 28-10-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;87d0484a00b3e38a4e3c80c27775cb876e34af93;;SHA-1;Niet vertrouwelijk ;;1993.10.28;NL-0834-931039;GDB-9286-02;GDB-9286-02
GDB-9286-02;;;4941 JG;Julianalaan 104 Raamsdonksveer;;;;;;;;NL-0834-931039;Tekening (technisch);Melding tekening oprichten tuinhuisje Julianalaan 104 Raamsdonksveer 28-10-1993;1993.10.28;oprichten tuinhuisje Julianalaan 104 Raamsdonksveer 28-10-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;fd49e86ca75f265bf21d0facd2cdcc8b964069fa;;SHA-1;Niet vertrouwelijk ;;1993.11.02;NL-0834-931040;GDB-9287-01;GDB-9287-01
GDB-9287-01;;;4942 DL;Anton van Duinkerkenstraat 21 Raamsdonksveer;;;;;;;;NL-0834-931040;Beschikking;Melding beschikking plaatsen dakkapel Anton van Duinkerkenstraat 21 Raamsdonksveer 02-11-1993;1993.11.02;Anton van Duinkerkenstraat 21 Raamsdonksveer 02-11-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;b263a55a1a2a38264cdd8c00c4d9de6bd78618a9;;SHA-1;Niet vertrouwelijk ;;1993.11.02;NL-0834-931040;GDB-9287-02;GDB-9287-02
GDB-9287-02;;;4942 DL;Anton van Duinkerkenstraat 21 Raamsdonksveer;;;;;;;;NL-0834-931040;Tekening (technisch);Melding tekening plaatsen dakkapel Anton van Duinkerkenstraat 21 Raamsdonksveer 02-11-1993;1993.11.02;Anton van Duinkerkenstraat 21 Raamsdonksveer 02-11-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;4502e4983565f6888cb5a38a046813f2ad0dd4ca;;SHA-1;Niet vertrouwelijk ;;1993.12.06;NL-0834-931041;GDB-9288-01;GDB-9288-01
GDB-9288-01;;;4941 GR;Brejaartstraat 1 Raamsdonksveer;;;;;;;;NL-0834-931041;Beschikking;Melding beschikking plaatsen dakkapel Berjaartstraat 1 Raamsdonksveer 06-12-1993;1993.12.06;plaatsen dakkapel Berjaartstraat 1 Raamsdonksveer 06-12-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;585fbce2923142c12fcf5d31fb0d8346daa8a23b;;SHA-1;Niet vertrouwelijk ;;1993.12.06;NL-0834-931041;GDB-9288-02;GDB-9288-02
GDB-9288-02;;;4941 GR;Brejaartstraat 1 Raamsdonksveer;;;;;;;;NL-0834-931041;Tekening (technisch);Melding tekening plaatsen dakkapel Berjaartstraat 1 Raamsdonksveer 06-12-1993;1993.12.06;plaatsen dakkapel Berjaartstraat 1 Raamsdonksveer 06-12-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;6941294579b463c7d69cc4984f9700b5db6d9f94;;SHA-1;Niet vertrouwelijk ;;1994.01.19;NL-0834-941001;GDB-9289-01;GDB-9289-01
GDB-9289-01;;;4942 AL;Papeweer 16 Raamsdonksveer;;;;;;;;NL-0834-941001;Beschikking;Melding beschikking uitbreiding garage Papeweer 16 Raamsdonksveer 19-1-1994;1994.01.19;uitbreiding garage Papeweer 16 Raamsdonksveer 19-1-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;33a353ab89bcc30470db29338fd6f0e9329b8a44;;SHA-1;Niet vertrouwelijk ;;1994.01.19;NL-0834-941001;GDB-9289-02;GDB-9289-02
GDB-9289-02;;;4942 AL;Papeweer 16 Raamsdonksveer;;;;;;;;NL-0834-941001;Tekening (technisch);Melding tekening uitbreiding garage Papeweer 16 Raamsdonksveer 19-1-1994;1994.01.19;uitbreiding garage Papeweer 16 Raamsdonksveer 19-1-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;9ecc05569f72e0e12a530f59d790911d33bfb633;;SHA-1;Niet vertrouwelijk ;;1994.01.19;NL-0834-941001;GDB-9289-03;GDB-9289-03
GDB-9289-03;;;4942 AL;Papeweer 16 Raamsdonksveer;;;;;;;;NL-0834-941001;overige documenten;Melding overige documenten uitbreiding garage Papeweer 16 Raamsdonksveer 19-1-1994;1994.01.19;uitbreiding garage Papeweer 16 Raamsdonksveer 19-1-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;3cad31f49a90edc26a1cdeccffa387ea520a69de;;SHA-1;Niet vertrouwelijk ;;1994.01.19;NL-0834-941002;GDB-9290-01;GDB-9290-01
GDB-9290-01;;;4942 ED;A. Roland Holstlaan Raamsdonksveer;;;;;;;;NL-0834-941002;Beschikking;Melding beschikking oprichten tuinhuisje A. Roland Holstlaan 21 Raamsdonksveer 19-1-1994;1994.01.19; oprichten tuinhuisje A. Roland Holstlaan 21 Raamsdonksveer 19-1-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;55624263243a1284cde57fc51c048e98774930b9;;SHA-1;Niet vertrouwelijk ;;1994.01.19;NL-0834-941002;GDB-9290-02;GDB-9290-02
GDB-9290-02;;;4942 ED;A. Roland Holstlaan Raamsdonksveer;;;;;;;;NL-0834-941002;Tekening (technisch);Melding tekening tuinhuisje A. Roland Holstlaan 21 Raamsdonksveer 19-1-1994;1994.01.19; oprichten tuinhuisje A. Roland Holstlaan 21 Raamsdonksveer 19-1-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;50a3620d815f5d9532c84fdb01a7044b67dcd3d8;;SHA-1;Niet vertrouwelijk ;;1994.02.03;NL-0834-941003;GDB-9291-01;GDB-9291-01
GDB-9291-01;;;4941 HD;Laurierstraat 4 Raamsdonksveer;;;;;;;;NL-0834-941003;Beschikking;Melding beschikking plaatsen serre Laurierstraat 4 Raamsdonksveer 03-2-1994;1994.02.03;plaatsen serre Laurierstraat 4 Raamsdonksveer 03-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;f67ef97120a3abcecd0adcfb0e59d2d8f75de175;;SHA-1;Niet vertrouwelijk ;;1994.02.03;NL-0834-941003;GDB-9291-02;GDB-9291-02
GDB-9291-02;;;4941 HD;Laurierstraat 4 Raamsdonksveer;;;;;;;;NL-0834-941003;Tekening (technisch);Melding tekening plaatsen serre Laurierstraat 4 Raamsdonksveer 03-2-1994;1994.02.03;plaatsen serre Laurierstraat 4 Raamsdonksveer 03-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;850187ab2ca6b2c1c3d6c45d694fbc01d396e450;;SHA-1;Niet vertrouwelijk ;;1994.02.04;NL-0834-941004;GDB-9292-01;GDB-9292-01
GDB-9292-01;;;4941 LK;Baksweer 211 Raamsdonksveer;;;;;;;;NL-0834-941004;Beschikking;Melding beschikking uitbreiding woning Baksweer 211 Raamsdonksveer 04-2-1994;1994.02.04;uitbreiding woning Baksweer 211 Raamsdonksveer 04-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;a648e1fabb21b3a293ea124546dfe858890bd9ad;;SHA-1;Niet vertrouwelijk ;;1994.02.04;NL-0834-941004;GDB-9292-02;GDB-9292-02
GDB-9292-02;;;4941 LK;Baksweer 211 Raamsdonksveer;;;;;;;;NL-0834-941004;Tekening (technisch);Melding tekening uitbreiding woning Baksweer 211 Raamsdonksveer 04-2-1994;1994.02.04;uitbreiding woning Baksweer 211 Raamsdonksveer 04-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;1d15f7a1aa3dc52ee80c4ac6cf23fa0f1e4f8ef1;;SHA-1;Niet vertrouwelijk ;;1994.02.07;NL-0834-941005;GDB-9293-01;GDB-9293-01
GDB-9293-01;;;4941 GA;Bergsedijk 1a Raamsdonksveer;;;;;;;;NL-0834-941005;Beschikking;Melding beschikking plaatsen dakkapel Bergsedijk 1a Raamsdonksveer 07-2-1994;1994.02.07;plaatsen dakkapel Bergsedijk 1a Raamsdonksveer 07-12-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;6d7cb942130a9c08179a4502cfe65b86e1e908fb;;SHA-1;Niet vertrouwelijk ;;1994.02.07;NL-0834-941005;GDB-9293-02;GDB-9293-02
GDB-9293-02;;;4941 GA;Bergsedijk 1a Raamsdonksveer;;;;;;;;NL-0834-941005;Tekening (technisch);Melding tekening plaatsen dakkapel Bergsedijk 1a Raamsdonksveer 07-2-1994;1994.02.07;plaatsen dakkapel Bergsedijk 1a Raamsdonksveer 07-12-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;be30f8f954fb74c1c92f68ddae7482a920288b2b;;SHA-1;Niet vertrouwelijk ;;1994.02.07;NL-0834-941006;GDB-9294-01;GDB-9294-01
GDB-9294-01;;;4941 JT;Prins Hendrikstraat 27 Raamsdonksveerr;;;;;;;;NL-0834-941006;Beschikking;Melding beschikking oprichten berging Prins Hendrikstraat 27 Raamsdonksveer 07-2-1994;1994.02.07;oprichten berging Prins Hendrikstraat 27 Raamsdonksveer 07-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;9c12a026976f9ff44d9be6893bd4e82795be89fa;;SHA-1;Niet vertrouwelijk ;;1994.02.07;NL-0834-941006;GDB-9294-02;GDB-9294-02
GDB-9294-02;;;4941 JT;Prins Hendrikstraat 27 Raamsdonksveerr;;;;;;;;NL-0834-941006;Tekening (technisch);Melding tekening oprichten berging Prins Hendrikstraat 27 Raamsdonksveer 07-2-1994;1994.02.07;oprichten berging Prins Hendrikstraat 27 Raamsdonksveer 07-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;9681a1f10ac89f4c68a643bc40b2f2a930ea86b8;;SHA-1;Niet vertrouwelijk ;;1994.02.08;NL-0834-941007;GDB-9295-01;GDB-9295-01
GDB-9295-01;;;4942 EG;A. Coolenstraat 15 Raamsdonksveer;;;;;;;;NL-0834-941007;Beschikking;Melding beschikking oprichten berging A. Coolenstraat 15  Raamsdonksveer 08-2-1994;1994.02.08;oprichten berging A. Coolenstraat 15  Raamsdonksveer 08-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;9a707d8f2fd5c2b178c81d21eba51bb4e21c59e7;;SHA-1;Niet vertrouwelijk ;;1994.02.08;NL-0834-941007;GDB-9295-02;GDB-9295-02
GDB-9295-02;;;4942 EG;A. Coolenstraat 15 Raamsdonksveer;;;;;;;;NL-0834-941007;Tekening (technisch);Melding tekening oprichten berging A. Coolenstraat 15  Raamsdonksveer 08-2-1994;1994.02.08;oprichten berging A. Coolenstraat 15  Raamsdonksveer 08-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;c5409aba904ed4839119bf262b70ea3e87138dba;;SHA-1;Niet vertrouwelijk ;;1994.02.17;NL-0834-941008;GDB-9296-01;GDB-9296-01
GDB-9296-01;;;4941 JT;Prins Hendrikstraat 17a Raamsdonksveer;;;;;;;;NL-0834-941008;Beschikking;Melding beschikking uitbreiden keuken Prins Hendrikstraat 17a Raamsdonksveer 17-2-1994;1994.02.17;uitbreiden keuken Prins Hendrikstraat 17a Raamsdonksveer 17-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;5cf91d9ab3e708083bcc3b774cc64a95f8f81700;;SHA-1;Niet vertrouwelijk ;;1994.02.17;NL-0834-941008;GDB-9296-02;GDB-9296-02
GDB-9296-02;;;4941 JT;Prins Hendrikstraat 17a Raamsdonksveer;;;;;;;;NL-0834-941008;Tekening (technisch);Melding tekening uitbreiden keuken Prins Hendrikstraat 17a Raamsdonksveer 17-2-1994;1994.02.17;uitbreiden keuken Prins Hendrikstraat 17a Raamsdonksveer 17-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;402f43e8c5eab6b5203dd8a99478144a04d38093;;SHA-1;Niet vertrouwelijk ;;1994.02.17;NL-0834-941008;GDB-9296-03;GDB-9296-03
GDB-9296-03;;;4941 JT;Prins Hendrikstraat 17a Raamsdonksveer;;;;;;;;NL-0834-941008;overige documenten;Melding overgie documenten uitbreiden keuken Prins Hendrikstraat 17a Raamsdonksveer 17-2-1994;1994.02.17;uitbreiden keuken Prins Hendrikstraat 17a Raamsdonksveer 17-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;32e3576b716f8a989f4e27ee57291ff0595b7940;;SHA-1;Niet vertrouwelijk ;;1994.02.17;NL-0834-941009;GDB-9297-01;GDB-9297-01
GDB-9297-01;;;4941 VL;Lissenveld 67 Raamsdonksveer;;;;;;;;NL-0834-941009;Beschikking;Melding beschikking oprichten rijwielstalling Lissenveld 67 Raamsdonksveer 17-2-1994;1994.02.17; oprichten rijwielstalling Lissenveld 67 Raamsdonksveer 17-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;e2592f4614d0a21eb040c781c9461affc1266b8a;;SHA-1;Niet vertrouwelijk ;;1994.02.17;NL-0834-941009;GDB-9297-02;GDB-9297-02
GDB-9297-02;;;4941 VL;Lissenveld 67 Raamsdonksveer;;;;;;;;NL-0834-941009;Tekening (technisch);Melding tekening oprichten rijwielstalling Lissenveld 67 Raamsdonksveer 17-2-1994;1994.02.17; oprichten rijwielstalling Lissenveld 67 Raamsdonksveer 17-2-1994;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;37387c6c622919e32079c5d05fb743fa8b7e690e;;SHA-1;Niet vertrouwelijk ;;1994.03.10;NL-0834-941010;GDB-9298-01;GDB-9298-01
