Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-3373-02;BR005-1980;Rentmeesterstraat;4944WB;Rentmeestersstraat 11 Raamsdonk;Rentmeestersstraat;11;;Rentmeestersstraat 11;4944WB;5;1980;NL-0834-800005;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vergroten berging Rentmeestersstraat 11 4944WB Raamsdonk 11-2-1980;1980.02.11;Vergroten berging;Bouwvergunning Vergroten berging Rentmeestersstraat 11 4944WB Raamsdonk 11-2-1980;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vergroten berging;NL 0834;2010;K50771752;1,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3374-01;BR006-1980;Donk;4942BC;Hoge donk 29 t/m 33 Raamsdonksveer;Hoge donk;29 t/m 33;Hoge;Hoge donk 29 t/m 33;4942BC;6;1980;NL-0834-800006;Beschikking;Bouwvergunning Beschikking Bouw 3 vrije sector woningen Hoge donk 29-31-33  Raamsdonksveer 14-2-1980;1980.02.14;Bouw 3 vrije sector woningen;Bouwvergunning Bouw 3 vrije sector woningen Hoge donk 29-31-33  Raamsdonksveer 14-2-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw 3 vrije sector woningen;NL 0834;2010;K50771752;4,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3374-02;BR006-1980;Donk;4942BC;Hoge donk 29 t/m 33 Raamsdonksveer;Hoge donk;29 t/m 33;Hoge;Hoge donk 29 t/m 33;4942BC;6;1980;NL-0834-800006;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw 3 vrije sector woningen Hoge donk 29-31-33  Raamsdonksveer 14-2-1980;1980.02.14;Bouw 3 vrije sector woningen;Bouwvergunning Bouw 3 vrije sector woningen Hoge donk 29-31-33  Raamsdonksveer 14-2-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw 3 vrije sector woningen;NL 0834;2010;K50771752;26,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3375-01;BR007-1980;Smalweer;4942AP; Smalweer 5 Raamsdonksveer; Smalweer;5;;Smalweer 5;4942AP;7;1980;NL-0834-800007;Beschikking;Bouwvergunning Beschikking Bouw woning met garage  Smalweer 5 4942AP Raamsdonksveer 14-2-1980;1980.02.14;Bouw woning met garage;Bouwvergunning Bouw woning met garage  Smalweer 5 4942AP Raamsdonksveer 14-2-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw woning met garage;NL 0834;2010;K50771752;3,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3375-02;BR007-1980;Smalweer;4942AP; Smalweer 5 Raamsdonksveer; Smalweer;5;;Smalweer 5;4942AP;7;1980;NL-0834-800007;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw woning met garage  Smalweer 5 4942AP Raamsdonksveer 14-2-1980;1980.02.14;Bouw woning met garage;Bouwvergunning Bouw woning met garage  Smalweer 5 4942AP Raamsdonksveer 14-2-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw woning met garage;NL 0834;2010;K50771752;33,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3375-03;BR007-1980;Smalweer;4942AP; Smalweer 5 Raamsdonksveer; Smalweer;5;;Smalweer 5;4942AP;7;1980;NL-0834-800007;Overige documenten;Bouwvergunning Overige documenten Bouw woning met garage  Smalweer 5 4942AP Raamsdonksveer 14-2-1980;1980.02.14;Bouw woning met garage;Bouwvergunning Bouw woning met garage  Smalweer 5 4942AP Raamsdonksveer 14-2-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Bouw woning met garage;NL 0834;2010;K50771752;5,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3376-01;BR009-1980;Julianalaan;4941JC; Julianalaan 85 Raamsdonksveer; Julianalaan;85;;Julianalaan 85;4941JC;9;1980;NL-0834-800009;Beschikking;Bouwvergunning Beschikking Bouw garage / berging  Julianalaan 85 4941JC Raamsdonksveer 11-2-1980;1980.02.11;Bouw garage / berging;Bouwvergunning Bouw garage / berging  Julianalaan 85 4941JC Raamsdonksveer 11-2-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw garage / berging;NL 0834;2010;K50771752;4,0;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3376-02;BR009-1980;Julianalaan;4941JC; Julianalaan 85 Raamsdonksveer; Julianalaan;85;;Julianalaan 85;4941JC;9;1980;NL-0834-800009;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw garage / berging  Julianalaan 85 4941JC Raamsdonksveer 11-2-1980;1980.02.11;Bouw garage / berging;Bouwvergunning Bouw garage / berging  Julianalaan 85 4941JC Raamsdonksveer 11-2-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw garage / berging;NL 0834;2010;K50771752;4,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3377-01;BR010-1980;Omschoorweg;4941KP; Omschoorweg 4 Raamsdonksveer; Omschoorweg;4;;Omschoorweg 4;4941KP;10;1980;NL-0834-800010;Beschikking;Bouwvergunning Beschikking Vergroten woonkamer door middel van aanbouw  Omschoorweg 4 4941KP Raamsdonksveer 14-2-1980;1980.02.14;Vergroten woonkamer door middel van aanbouw;Bouwvergunning Vergroten woonkamer door middel van aanbouw  Omschoorweg 4 4941KP Raamsdonksveer 14-2-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vergroten woonkamer door middel van aanbouw;NL 0834;2010;K50771752;3,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
GDB-3377-02;BR010-1980;Omschoorweg;4941KP; Omschoorweg 4 Raamsdonksveer; Omschoorweg;4;;Omschoorweg 4;4941KP;10;1980;NL-0834-800010;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vergroten woonkamer door middel van aanbouw  Omschoorweg 4 4941KP Raamsdonksveer 14-2-1980;1980.02.14;Vergroten woonkamer door middel van aanbouw;Bouwvergunning Vergroten woonkamer door middel van aanbouw  Omschoorweg 4 4941KP Raamsdonksveer 14-2-1980;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vergroten woonkamer door middel van aanbouw;NL 0834;2010;K50771752;9,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk 
