Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-6725-01;G001-1950;Statendam;;Statendam 4 Geertruidenberg;Statendam;4;;Statendam 4;;1;1950;NL-0779-500001;Beschikking;Bouwvergunning Beschikking Verbouwen fabriek Statendam 4  Geertruidenberg 2-1-1950;1950.01.02;Verbouwen fabriek;Bouwvergunning Verbouwen fabriek Statendam 4  Geertruidenberg 2-1-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Verbouwen fabriek;NL 0779;2010;K50771752;29,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6725-02;G001-1950;Statendam;;Statendam 4 Geertruidenberg;Statendam;4;;Statendam 4;;1;1950;NL-0779-500001;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Verbouwen fabriek Statendam 4  Geertruidenberg 2-1-1950;1950.01.02;Verbouwen fabriek;Bouwvergunning Verbouwen fabriek Statendam 4  Geertruidenberg 2-1-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Verbouwen fabriek;NL 0779;2010;K50771752;16,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6725-03;G001-1950;Statendam;;Statendam 4 Geertruidenberg;Statendam;4;;Statendam 4;;1;1950;NL-0779-500001;Overige documenten;Bouwvergunning Overige documenten Verbouwen fabriek Statendam 4  Geertruidenberg 2-1-1950;1950.01.02;Verbouwen fabriek;Bouwvergunning Verbouwen fabriek Statendam 4  Geertruidenberg 2-1-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Verbouwen fabriek;NL 0779;2010;K50771752;4,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6726-01;G002-1950;Centraleweg;4931NA;Centraleweg 9 Geertruidenberg;Centraleweg;9;;Centraleweg 9;4931NA;2;1950;NL-0779-500002;Beschikking;Bouwvergunning Beschikking Vernieuwen landbouwschuur Centraleweg 9 4931NA Geertruidenberg 17-1-1950;1950.01.17;Vernieuwen landbouwschuur;Bouwvergunning Vernieuwen landbouwschuur Centraleweg 9 4931NA Geertruidenberg 17-1-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vernieuwen landbouwschuur;NL 0779;2010;K50771752;17;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6727-01;G003-1950;Bastionstraat;4931AK;Bastionstraat 4 Geertruidenberg;Bastionstraat;4;;Bastionstraat 4;4931AK;3;1950;NL-0779-500003;Beschikking;Bouwvergunning Beschikking Herbouwen woonhuis Bastionstraat 4 4931AK Geertruidenberg 17-1-1950;1950.01.17;Herbouwen woonhuis;Bouwvergunning Herbouwen woonhuis Bastionstraat 4 4931AK Geertruidenberg 17-1-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Herbouwen woonhuis;NL 0779;2010;K50771752;16,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6727-02;G003-1950;Bastionstraat;4931AK;Bastionstraat 4 Geertruidenberg;Bastionstraat;4;;Bastionstraat 4;4931AK;3;1950;NL-0779-500003;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Herbouwen woonhuis Bastionstraat 4 4931AK Geertruidenberg 17-1-1950;1950.01.17;Herbouwen woonhuis;Bouwvergunning Herbouwen woonhuis Bastionstraat 4 4931AK Geertruidenberg 17-1-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Herbouwen woonhuis;NL 0779;2010;K50771752;14,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6728-01;G004-1950;Centraleweg;;Centraleweg  Geertruidenberg;Centraleweg;;;Centraleweg;;4;1950;NL-0779-500004;Beschikking;Bouwvergunning Beschikking Bouw magazijnloods Dongecentrale Centraleweg  Geertruidenberg 14-3-1950;1950.03.14;Bouw magazijnloods;Bouwvergunning Bouw magazijnloods Dongecentrale Centraleweg  Geertruidenberg 14-3-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw magazijnloods;NL 0779;2010;K50771752;6,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6728-02;G004-1950;Centraleweg;;Centraleweg  Geertruidenberg;Centraleweg;;;Centraleweg;;4;1950;NL-0779-500004;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw magazijnloods Dongecentrale Centraleweg  Geertruidenberg 14-3-1950;1950.03.14;Bouw magazijnloods;Bouwvergunning Bouw magazijnloods Dongecentrale Centraleweg  Geertruidenberg 14-3-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw magazijnloods;NL 0779;2010;K50771752;40,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6729-01;G005-1950;Dordtsestraat;;Dordtsestraat  Geertruidenberg;Dordtsestraat;;;Dordtsestraat;;5;1950;NL-0779-500005;Beschikking;Bouwvergunning Beschikking Aanbrengen terreinafscheiding Dordtsestraat   Geertruidenberg 24-3-1950;1950.03.24;Aanbrengen terreinafscheiding;Bouwvergunning Aanbrengen terreinafscheiding Dordtsestraat   Geertruidenberg 24-3-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Aanbrengen terreinafscheiding;NL 0779;2010;K50771752;4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6729-02;G005-1950;Dordtsestraat;;Dordtsestraat  Geertruidenberg;Dordtsestraat;;;Dordtsestraat;;5;1950;NL-0779-500005;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Aanbrengen terreinafscheiding Dordtsestraat   Geertruidenberg 24-3-1950;1950.03.24;Aanbrengen terreinafscheiding;Bouwvergunning Aanbrengen terreinafscheiding Dordtsestraat   Geertruidenberg 24-3-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Aanbrengen terreinafscheiding;NL 0779;2010;K50771752;4,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6730-01;G006-1950;Standhazensedijk;4931NH;Standhazensedijk 2 Geertruidenberg;Standhazensedijk;2;;Standhazensedijk 2;4931NH;6;1950;NL-0779-500006;Beschikking;Bouwvergunning Beschikking Bouw schuur Standhazensedijk 2 4931NH Geertruidenberg 4-4-1950;1950.04.04;Bouw schuur;Bouwvergunning Bouw schuur Standhazensedijk 2 4931NH Geertruidenberg 4-4-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw schuur;NL 0779;2010;K50771752;22,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6730-02;G006-1950;Standhazensedijk;4931NH;Standhazensedijk 2 Geertruidenberg;Standhazensedijk;2;;Standhazensedijk 2;4931NH;6;1950;NL-0779-500006;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw schuur Standhazensedijk 2 4931NH Geertruidenberg 4-4-1950;1950.04.04;Bouw schuur;Bouwvergunning Bouw schuur Standhazensedijk 2 4931NH Geertruidenberg 4-4-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw schuur;NL 0779;2010;K50771752;12,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6731-01;G007-1950;Centraleweg;;Centraleweg  Geertruidenberg;Centraleweg;;;Centraleweg;;7;1950;NL-0779-500007;Beschikking;Bouwvergunning Beschikking Bouw bedrijvengebouw ten behoeve van de Dongecentrale Centraleweg   Geertruidenberg 17-4-1950;1950.04.17;Bouw bedrijvengebouw ten behoeve van de Dongecentrale;Bouwvergunning Bouw bedrijvengebouw ten behoeve van de Dongecentrale Centraleweg  Geertruidenberg 17-4-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw bedrijvengebouw ten behoeve van de Dongecentrale;NL 0779;2010;K50771752;17;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6731-02;G007-1950;Centraleweg;;Centraleweg  Geertruidenberg;Centraleweg;;;Centraleweg;;7;1950;NL-0779-500007;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw bedrijvengebouw ten behoeve van de Dongecentrale Centraleweg   Geertruidenberg 17-4-1950;1950.04.17;Bouw bedrijvengebouw ten behoeve van de Dongecentrale;Bouwvergunning Bouw bedrijvengebouw ten behoeve van de Dongecentrale Centraleweg  Geertruidenberg 17-4-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw bedrijvengebouw ten behoeve van de Dongecentrale;NL 0779;2010;K50771752;54;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6732-01;G008-1950;Haven;4931AH;Haven 14 Geertruidenberg;Haven;14;;Haven 14;4931AH;8;1950;NL-0779-500008;Beschikking;Bouwvergunning Beschikking Uitbreiden drukkerij Haven 14 4931AH Geertruidenberg 8-5-1950;1950.05.08;Uitbreiden drukkerij;Bouwvergunning Uitbreiden drukkerij Haven 14 4931AH Geertruidenberg 8-5-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Uitbreiden drukkerij;NL 0779;2010;K50771752;9,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6732-02;G008-1950;Haven;4931AH;Haven 14 Geertruidenberg;Haven;14;;Haven 14;4931AH;8;1950;NL-0779-500008;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Uitbreiden drukkerij Haven 14 4931AH Geertruidenberg 8-5-1950;1950.05.08;Uitbreiden drukkerij;Bouwvergunning Uitbreiden drukkerij Haven 14 4931AH Geertruidenberg 8-5-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Uitbreiden drukkerij;NL 0779;2010;K50771752;8,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6742-01;G017-1950;Amerweg;;Amerweg  Geertruidenberg;Amerweg;;;Amerweg;;17;1950;NL-0779-500017;Beschikking;Bouwvergunning Beschikking Bouw schoorsteen Amercentrale   Geertruidenberg 15-9-1950;1950.09.15;Bouw schoorsteen;Bouwvergunning Bouw schoorsteen Amercentrale   Geertruidenberg 15-9-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw schoorsteen;NL 0779;2010;K50771752;7,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6742-02;G017-1950;Amerweg;;Amerweg  Geertruidenberg;Amerweg;;;Amerweg;;17;1950;NL-0779-500017;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw schoorsteen Amercentrale   Geertruidenberg 15-9-1950;1950.09.15;Bouw schoorsteen;Bouwvergunning Bouw schoorsteen Amercentrale   Geertruidenberg 15-9-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw schoorsteen;NL 0779;2010;K50771752;39,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6743-01;G018-1950;Plantsoen;4931AT;Plantsoen 9 Geertruidenberg;Plantsoen;9;;Plantsoen 9;4931AT;18;1950;NL-0779-500018;Beschikking;Bouwvergunning Beschikking Bouw dakkapel en inwendig veranderen genoemd pand Plantsoen 9 4931AT Geertruidenberg 14-10-1950;1950.10.14;Bouw dakkapel en inwendig veranderen genoemd pand;Bouwvergunning Bouw dakkapel en inwendig veranderen genoemd pand Plantsoen 9 4931AT Geertruidenberg 14-10-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw dakkapel en inwendig veranderen genoemd pand;NL 0779;2010;K50771752;11,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6743-02;G018-1950;Plantsoen;4931AT;Plantsoen 9 Geertruidenberg;Plantsoen;9;;Plantsoen 9;4931AT;18;1950;NL-0779-500018;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw dakkapel en inwendig veranderen genoemd pand Plantsoen 9 4931AT Geertruidenberg 14-10-1950;1950.10.14;Bouw dakkapel en inwendig veranderen genoemd pand;Bouwvergunning Bouw dakkapel en inwendig veranderen genoemd pand Plantsoen 9 4931AT Geertruidenberg 14-10-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw dakkapel en inwendig veranderen genoemd pand;NL 0779;2010;K50771752;3,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6744-01;G019-1950;Koestraat ;4931CP;Koestraat  41 t/m 43 Geertruidenberg;Koestraat ;41 t/m 43;;Koestraat 41 t/m 43;4931CP;19;1950;NL-0779-500019;Beschikking;Bouwvergunning Beschikking Verbouwen winkel - woonhuis Koestraat  41-43  Geertruidenberg 14-10-1950;1950.10.14;Verbouwen winkel - woonhuis;Bouwvergunning Verbouwen winkel - woonhuis Koestraat  41-43  Geertruidenberg 14-10-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Verbouwen winkel - woonhuis;NL 0779;2010;K50771752;13,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6744-02;G019-1950;Koestraat ;4931CP;Koestraat  41 t/m 43 Geertruidenberg;Koestraat ;41 t/m 43;;Koestraat 41 t/m 43;4931CP;19;1950;NL-0779-500019;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Verbouwen winkel - woonhuis Koestraat  41-43  Geertruidenberg 14-10-1950;1950.10.14;Verbouwen winkel - woonhuis;Bouwvergunning Verbouwen winkel - woonhuis Koestraat  41-43  Geertruidenberg 14-10-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Verbouwen winkel - woonhuis;NL 0779;2010;K50771752;10,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6745-01;G020-1950;Venestraat;4931BP;Venestraat 28 Geertruidenberg;Venestraat;28;;Venestraat 28;4931BP;20;1950;NL-0779-500020;Beschikking;Bouwvergunning Beschikking Bouw woonhuis Venestraat 28 4931BP Geertruidenberg 6-11-1950;1950.11.06;Bouw woonhuis;Bouwvergunning Bouw woonhuis Venestraat 28 4931BP Geertruidenberg 6-11-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw woonhuis;NL 0779;2010;K50771752;21,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6745-02;G020-1950;Venestraat;4931BP;Venestraat 28 Geertruidenberg;Venestraat;28;;Venestraat 28;4931BP;20;1950;NL-0779-500020;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw woonhuis Venestraat 28 4931BP Geertruidenberg 6-11-1950;1950.11.06;Bouw woonhuis;Bouwvergunning Bouw woonhuis Venestraat 28 4931BP Geertruidenberg 6-11-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw woonhuis;NL 0779;2010;K50771752;20;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6746-01;G021-1950;Centraleweg;;Centraleweg  Geertruidenberg;Centraleweg;;;Centraleweg;;21;1950;NL-0779-500021;Beschikking;Bouwvergunning Beschikking Bouw olieopslagplaats Centraleweg   Geertruidenberg 13-12-1950;1950.12.13;Bouw olieopslagplaats;Bouwvergunning Bouw olieopslagplaats Centraleweg   Geertruidenberg 13-12-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw olieopslagplaats;NL 0779;2010;K50771752;18;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6746-02;G021-1950;Centraleweg;;Centraleweg  Geertruidenberg;Centraleweg;;;Centraleweg;;21;1950;NL-0779-500021;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw olieopslagplaats Centraleweg   Geertruidenberg 13-12-1950;1950.12.13;Bouw olieopslagplaats;Bouwvergunning Bouw olieopslagplaats Centraleweg   Geertruidenberg 13-12-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw olieopslagplaats;NL 0779;2010;K50771752;16,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6747-01;G022-1950;Markt;4931BT;Markt 40 Geertruidenberg;Markt;40;;Markt 40;4931BT;22;1950;NL-0779-500022;Beschikking;Bouwvergunning Beschikking Bouw schuurtje Markt 40  Geertruidenberg 13-12-1950;1950.12.13;Bouw schuurtje;Bouwvergunning Bouw schuurtje Markt 40  Geertruidenberg 13-12-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw schuurtje;NL 0779;2010;K50771752;3,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6747-02;G022-1950;Markt;4931BT;Markt 40 Geertruidenberg;Markt;40;;Markt 40;4931BT;22;1950;NL-0779-500022;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw schuurtje Markt 40  Geertruidenberg 13-12-1950;1950.12.13;Bouw schuurtje;Bouwvergunning Bouw schuurtje Markt 40  Geertruidenberg 13-12-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw schuurtje;NL 0779;2010;K50771752;4,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6748-01;G023-1950;Leerthouwerstraat;;Leerthouwerstraat  Geertruidenberg;Leerthouwerstraat;;;Leerthouwerstraat;;23;1950;NL-0779-500023;Beschikking;Bouwvergunning Beschikking Bouw pakhuis met bovenwoning Leerthouwerstraat   Geertruidenberg 23-12-1950;1950.12.23;Bouw pakhuis met bovenwoning;Bouwvergunning Bouw pakhuis met bovenwoning Leerthouwerstraat   Geertruidenberg 23-12-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw pakhuis met bovenwoning;NL 0779;2010;K50771752;16,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6748-02;G023-1950;Leerthouwerstraat;;Leerthouwerstraat  Geertruidenberg;Leerthouwerstraat;;;Leerthouwerstraat;;23;1950;NL-0779-500023;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw pakhuis met bovenwoning Leerthouwerstraat   Geertruidenberg 23-12-1950;1950.12.23;Bouw pakhuis met bovenwoning;Bouwvergunning Bouw pakhuis met bovenwoning Leerthouwerstraat   Geertruidenberg 23-12-1950;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw pakhuis met bovenwoning;NL 0779;2010;K50771752;8,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6749-01;G001-1951;Centraleweg;4931NA;Centraleweg 1 Geertruidenberg;Centraleweg;1;;Centraleweg 1;4931NA;1;1951;NL-0779-510001;Beschikking;Bouwvergunning Beschikking Bouw portiershuisje Centraleweg 1  Geertruidenberg 22-2-1951;1951.02.22;Bouw portiershuisje;Bouwvergunning Bouw portiershuisje Centraleweg 1  Geertruidenberg 22-2-1951;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw portiershuisje;NL 0779;2010;K50771752;11,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6749-02;G001-1951;Centraleweg;4931NA;Centraleweg 1 Geertruidenberg;Centraleweg;1;;Centraleweg 1;4931NA;1;1951;NL-0779-510001;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw portiershuisje Centraleweg 1  Geertruidenberg 22-2-1951;1951.02.22;Bouw portiershuisje;Bouwvergunning Bouw portiershuisje Centraleweg 1  Geertruidenberg 22-2-1951;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw portiershuisje;NL 0779;2010;K50771752;10,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
GDB-6750-01;G002-1951;Centraleweg;4931NA;Centraleweg 1 Geertruidenberg;Centraleweg;1;;Centraleweg 1;4931NA;2;1951;NL-0779-510002;Beschikking;Bouwvergunning Beschikking Verbouwen woonhuis Centraleweg 1  Geertruidenberg 5-3-1951;1951.03.05;Verbouwen woonhuis;Bouwvergunning Verbouwen woonhuis Centraleweg 1  Geertruidenberg 5-3-1951;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Verbouwen woonhuis;NL 0779;2010;K50771752;14,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.09;Record;Archief ;;;;
