Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie
GDB-6305-01;G006-1928;Stationstraat;;Stationstraat Geertruidenberg;Stationstraat;;;Stationstraat ;;6;1928;NL-0779-280006;Beschikking;Bouwvergunning Beschikking Bouw winkelhuis Stationstraat Geertruidenberg 10-2-1928;1928.02.10;Bouw winkelhuis;Bouwvergunning Bouw winkelhuis Stationstraat Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw winkelhuis;NL 0779;2010;K50771752;8,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6305-02;G006-1928;Stationstraat;;Stationstraat Geertruidenberg;Stationstraat;;;Stationstraat ;;6;1928;NL-0779-280006;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw winkelhuis Geertruidenberg  Geertruidenberg 10-2-1928;1928.02.10;Bouw winkelhuis;Bouwvergunning Bouw winkelhuis Stationstraat Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw winkelhuis;NL 0779;2010;K50771752;13,4;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6306-01;G007-1928;Provincialenweg;;Provincialenweg  Geertruidenberg;Provincialenweg;;;Provincialenweg;;7;1928;NL-0779-280007;Beschikking;Bouwvergunning Beschikking Bouw 3 directieketen en 2 loodsen Provincialenweg   Geertruidenberg 10-2-1928;1928.02.10;Bouw 3 directieketen en 2 loodsen;Bouwvergunning Bouw 3 directieketen en 2 loodsen Provincialenweg   Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw 3 directieketen en 2 loodsen;NL 0779;2010;K50771752;8,6;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6306-02;G007-1928;Provincialenweg;;Provincialenweg  Geertruidenberg;Provincialenweg;;;Provincialenweg;;7;1928;NL-0779-280007;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw 3 directieketen en 2 loodsen Provincialenweg   Geertruidenberg 10-2-1928;1928.02.10;Bouw 3 directieketen en 2 loodsen;Bouwvergunning Bouw 3 directieketen en 2 loodsen Provincialenweg   Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw 3 directieketen en 2 loodsen;NL 0779;2010;K50771752;4,9;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6307-01;G008-1928;Dordtsestraat;4931BB;Dordtsestraat 22a Geertruidenberg;Dordtsestraat;22a;;Dordtsestraat 22a;4931BB;8;1928;NL-0779-280008;Beschikking;Bouwvergunning Beschikking Bouw timmermanswerkplaats Dordtsestraat 22a  Geertruidenberg 10-2-1928;1928.02.10;Bouw timmermanswerkplaats;Bouwvergunning Bouw timmermanswerkplaats Dordtsestraat 22a  Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw timmermanswerkplaats;NL 0779;2010;K50771752;8,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6307-02;G008-1928;Dordtsestraat;4931BB;Dordtsestraat 22a Geertruidenberg;Dordtsestraat;22a;;Dordtsestraat 22a;4931BB;8;1928;NL-0779-280008;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw timmermanswerkplaats Dordtsestraat 22a  Geertruidenberg 10-2-1928;1928.02.10;Bouw timmermanswerkplaats;Bouwvergunning Bouw timmermanswerkplaats Dordtsestraat 22a  Geertruidenberg 10-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw timmermanswerkplaats;NL 0779;2010;K50771752;8,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6308-01;G009-1928;Markt;4931BT;Markt 58 Geertruidenberg;Markt;58;;Markt 58;4931BT;9;1928;NL-0779-280009;Beschikking;Bouwvergunning Beschikking Bouw keuken met overdekte toegang Markt 58 4931BT Geertruidenberg 23-2-1928;1928.02.23;Bouw keuken met overdekte toegang;Bouwvergunning Bouw keuken met overdekte toegang Markt 58 4931BT Geertruidenberg 23-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw keuken met overdekte toegang;NL 0779;2010;K50771752;9,2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6308-02;G009-1928;Markt;4931BT;Markt 58 Geertruidenberg;Markt;58;;Markt 58;4931BT;9;1928;NL-0779-280009;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Bouw keuken met overdekte toegang Markt 58 4931BT Geertruidenberg 23-2-1928;1928.02.23;Bouw keuken met overdekte toegang;Bouwvergunning Bouw keuken met overdekte toegang Markt 58 4931BT Geertruidenberg 23-2-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Bouw keuken met overdekte toegang;NL 0779;2010;K50771752;5,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6309-01;G010-1928;Buitenhaven;;Buitenhaven 5 Geertruidenberg;Buitenhaven;5;;Buitenhaven 5;;10;1928;NL-0779-280010;Beschikking;Bouwvergunning Beschikking Bouw uitneembare directiekeet dienend tot kantoor en wachtplaats Buitenhaven 5  Geertruidenberg 20-3-1928;1928.03.20;Bouw uitneembare directiekeet dienend tot kantoor en wachtplaats;Bouwvergunning Bouw uitneembare directiekeet dienend tot kantoor en wachtplaats Buitenhaven 5  Geertruidenberg 20-3-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw uitneembare directiekeet dienend tot kantoor en wachtplaats;NL 0779;2010;K50771752;2,7;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
GDB-6310-01;G011-1928;Gasthuisstraat;4931AN;Gasthuisstraat 49 Geertruidenberg;Gasthuisstraat;49;;Gasthuisstraat 49;4931AN;11;1928;NL-0779-280011;Beschikking;Bouwvergunning Beschikking Bouw bovenwoning op bestaand pakhuis Gasthuisstraat 49 4931AN Geertruidenberg 8-3-1928;1928.03.08;Bouw bovenwoning op bestaand pakhuis;Bouwvergunning Bouw bovenwoning op bestaand pakhuis Gasthuisstraat 49 4931AN Geertruidenberg 8-3-1928;Geertruidenberg;Gemeente Geertruidenberg;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw bovenwoning op bestaand pakhuis;NL 0779;2010;K50771752;8,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.11.08;Record;Archief ;;;;
