Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;;;;
GDB-1070-02;BR022-1963;Ijzersteeg;;IJzersteeg 3 Raamsdonksveer;IJzersteeg;3;;IJzersteeg 3;;22;1963;NL-0834-630022;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vernieuwen raamkozijn voorgevel IJzersteeg 3  Raamsdonksveer 7-2-1963;1963.02.07;Vernieuwen raamkozijn voorgevel;Bouwvergunning Vernieuwen raamkozijn voorgevel IJzersteeg 3  Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vernieuwen raamkozijn voorgevel;NL 0834;2010;K50771752;3,8;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1071-01;BR023-1963;Kerkstraat;4941DR;Grote Kerkstraat 72 Raamsdonksveer;Grote Kerkstraat;72;Grote;Grote Kerkstraat 72;4941DR;23;1963;NL-0834-630023;Beschikking;Bouwvergunning Beschikking Vernieuwen w.c. Grote Kerkstraat 72 4941DR Raamsdonksveer 7-2-1963;1963.02.07;Vernieuwen w.c.;Bouwvergunning Vernieuwen w.c. Grote Kerkstraat 72 4941DR Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Vernieuwen w.c.;NL 0834;2010;K50771752;1,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1071-02;BR023-1963;Kerkstraat;4941DR;Grote Kerkstraat 72 Raamsdonksveer;Grote Kerkstraat;72;Grote;Grote Kerkstraat 72;4941DR;23;1963;NL-0834-630023;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Vernieuwen w.c. Grote Kerkstraat 72 4941DR Raamsdonksveer 7-2-1963;1963.02.07;Vernieuwen w.c.;Bouwvergunning Vernieuwen w.c. Grote Kerkstraat 72 4941DR Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Vernieuwen w.c.;NL 0834;2010;K50771752;9,1;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1072-01;BR024-1963;Julianalaan;; Julianalaan  Raamsdonksveer; Julianalaan;;;Julianalaan;;24;1963;NL-0834-630024;Beschikking;Bouwvergunning Beschikking Uitbreiden bestaande fabriek met 1 hal  Julianalaan   Raamsdonksveer 7-2-1963;1963.02.07;Uitbreiden bestaande fabriek met 1 hal;Bouwvergunning Uitbreiden bestaande fabriek met 1 hal  Julianalaan   Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Uitbreiden bestaande fabriek met 1 hal;NL 0834;2010;K50771752;5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1072-02;BR024-1963;Julianalaan;; Julianalaan  Raamsdonksveer; Julianalaan;;;Julianalaan;;24;1963;NL-0834-630024;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Uitbreiden bestaande fabriek met 1 hal  Julianalaan   Raamsdonksveer 7-2-1963;1963.02.07;Uitbreiden bestaande fabriek met 1 hal;Bouwvergunning Uitbreiden bestaande fabriek met 1 hal  Julianalaan   Raamsdonksveer 7-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Uitbreiden bestaande fabriek met 1 hal;NL 0834;2010;K50771752;25;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1073-01;BR026-1963;Kerkstraat;4941DP;Grote Kerkstraat 28 Raamsdonksveer;Grote Kerkstraat;28;Grote;Grote Kerkstraat 28;4941DP;26;1963;NL-0834-630026;Beschikking;Bouwvergunning Beschikking Verbouwen woonhuis annex café en uitbreiden met toiletruimten Grote Kerkstraat 28 4941DP Raamsdonksveer 14-2-1963;1963.02.14;Verbouwen woonhuis annex café en uitbreiden met toiletruimten;Bouwvergunning Verbouwen woonhuis annex café en uitbreiden met toiletruimten Grote Kerkstraat 28 4941DP Raamsdonksveer 14-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Verbouwen woonhuis annex café en uitbreiden met toiletruimten;NL 0834;2010;K50771752;1,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1073-02;BR026-1963;Kerkstraat;4941DP;Grote Kerkstraat 28 Raamsdonksveer;Grote Kerkstraat;28;Grote;Grote Kerkstraat 28;4941DP;26;1963;NL-0834-630026;Tekening ( technisch );Bouwvergunning Tekening ( technisch ) Verbouwen woonhuis annex café en uitbreiden met toiletruimten Grote Kerkstraat 28 4941DP Raamsdonksveer 14-2-1963;1963.02.14;Verbouwen woonhuis annex café en uitbreiden met toiletruimten;Bouwvergunning Verbouwen woonhuis annex café en uitbreiden met toiletruimten Grote Kerkstraat 28 4941DP Raamsdonksveer 14-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Tekeningen Verbouwen woonhuis annex café en uitbreiden met toiletruimten;NL 0834;2010;K50771752;23,3;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1073-03;BR026-1963;Kerkstraat;4941DP;Grote Kerkstraat 28 Raamsdonksveer;Grote Kerkstraat;28;Grote;Grote Kerkstraat 28;4941DP;26;1963;NL-0834-630026;Overige documenten;Bouwvergunning Overige documenten Verbouwen woonhuis annex café en uitbreiden met toiletruimten Grote Kerkstraat 28 4941DP Raamsdonksveer 14-2-1963;1963.02.14;Verbouwen woonhuis annex café en uitbreiden met toiletruimten;Bouwvergunning Verbouwen woonhuis annex café en uitbreiden met toiletruimten Grote Kerkstraat 28 4941DP Raamsdonksveer 14-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Overige documenten Verbouwen woonhuis annex café en uitbreiden met toiletruimten;NL 0834;2010;K50771752;2;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1074-01;BR029-1963;Keizersdijk;4941GD; Keizersdijk 73 Raamsdonksveer; Keizersdijk;73;;Keizersdijk 73;4941GD;29;1963;NL-0834-630029;Beschikking;Bouwvergunning Beschikking Plaatsen dakkapel achtergevel  Keizersdijk 73 4941GD Raamsdonksveer 21-2-1963;1963.02.21;Plaatsen dakkapel achtergevel;Bouwvergunning Plaatsen dakkapel achtergevel  Keizersdijk 73 4941GD Raamsdonksveer 21-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Plaatsen dakkapel achtergevel;NL 0834;2010;K50771752;1,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
GDB-1075-01;BR030-1963;Keizersdijk;4941GC; Keizersdijk 37 Raamsdonksveer; Keizersdijk;37;;Keizersdijk 37;4941GC;30;1963;NL-0834-630030;Beschikking;Bouwvergunning Beschikking Bouw nieuwe w.c. met douche en plaatsen raam achtergevel  Keizersdijk 37 4941GC Raamsdonksveer 21-2-1963;1963.02.21;Bouw nieuwe w.c. met douche en plaatsen raam achtergevel;Bouwvergunning Bouw nieuwe w.c. met douche en plaatsen raam achtergevel  Keizersdijk 37 4941GC Raamsdonksveer 21-2-1963;Raamsdonksveer;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;Beschikking Bouw nieuwe w.c. met douche en plaatsen raam achtergevel;NL 0834;2010;K50771752;1,5;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;2015.12.21;Record;Archief ;;;;Niet vertrouwelijk ;;;;;
