DossierId;Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Bestand_Vorm_Redactiegenre;Bestand_Formaat_Bestandsnaam;Bestand_Formaat_BestandsOmvang;Bestand_Formaat_BestandsFormaat;Bestand_Formaat_FysiekeIntegriteit_Algoritme
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114816.pdf;8303811;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114817.pdf;8174349;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114818.pdf;8005940;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114819.pdf;8056546;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114820.pdf;8027828;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114821.pdf;8185944;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114822.pdf;7098452;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114823.pdf;7727964;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114824.pdf;8375952;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114825.pdf;7107127;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114826.pdf;6807954;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114827.pdf;9233401;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114828.pdf;8771957;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114829.pdf;6999157;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Beschermd wegens rechten architect;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Tekening (technisch);B000114830.pdf;1025498;fmt/18;sha256
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;Vrij te gebruiken;28-04-1981;Vertrouwelijk;28-04-1981;Beperkt openbaar;28-08-2118;Aanvulling;B000114831.pdf;4916114;fmt/18;sha256
NL-0784-BV000000411;bouwen stal voor varkens en mestvaalt Veenstraat 1 16-05-1923;Vrij te gebruiken;16-05-1923;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000058.pdf;9900163;fmt/18;sha256
NL-0784-BV000000459;bouwen dokterswoning Stationsstraat 52 18-06-1924;Vrij te gebruiken;18-06-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000107.pdf;16172288;fmt/18;sha256
NL-0784-BV000000459;bouwen dokterswoning Stationsstraat 52 18-06-1924;Vrij te gebruiken;18-06-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000108.pdf;7683830;fmt/18;sha256
NL-0784-BV000000476;bouwen 2 arbeiderswoningen Raakeindse Kerkweg 91 06-09-1924;Vrij te gebruiken;06-09-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000123.pdf;4053769;fmt/18;sha256
NL-0784-BV000000478;bouwen autoberging Pastoor Gillisstraat 8 17-09-1924;Vrij te gebruiken;17-09-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000125.pdf;6473439;fmt/18;sha256
NL-0784-BV000000478;bouwen autoberging Pastoor Gillisstraat 8 17-09-1924;Vrij te gebruiken;17-09-1924;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000126.pdf;4149714;fmt/18;sha256
NL-0784-BV000000503;bouwen boerderij Schoolstraat 47 18-02-1925;Vrij te gebruiken;18-02-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000000160.pdf;342064;fmt/18;sha256
NL-0784-BV000000503;bouwen boerderij Schoolstraat 47 18-02-1925;Vrij te gebruiken;18-02-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000161.pdf;9483701;fmt/18;sha256
NL-0784-BV000000523;bouwen woonhuis Tuinstraat 40 06-05-1925;Vrij te gebruiken;06-05-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000000201.pdf;362467;fmt/18;sha256
NL-0784-BV000000523;bouwen woonhuis Tuinstraat 40 06-05-1925;Vrij te gebruiken;06-05-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000202.pdf;7252036;fmt/18;sha256
NL-0784-BV000000557;bouwen schuur met kippenhok Hulteneindsestraat 18 08-10-1925;Vrij te gebruiken;08-10-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000000267.pdf;302863;fmt/18;sha256
NL-0784-BV000000557;bouwen schuur met kippenhok Hulteneindsestraat 18 08-10-1925;Vrij te gebruiken;08-10-1925;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000268.pdf;1243846;fmt/18;sha256
NL-0784-BV000000589;bouw schoenmakerij Hoofdstraat 113 03-03-1926;Vrij te gebruiken;03-03-1926;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000000333.pdf;362176;fmt/18;sha256
NL-0784-BV000000589;bouw schoenmakerij Hoofdstraat 113 03-03-1926;Vrij te gebruiken;03-03-1926;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000000334.pdf;4296318;fmt/18;sha256
NL-0784-BV000000900;bouwen kippenhok Horst 36 02-07-1931;Vrij te gebruiken;02-07-1931;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000001000.pdf;473048;fmt/18;sha256
NL-0784-BV000000900;bouwen kippenhok Horst 36 02-07-1931;Vrij te gebruiken;02-07-1931;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001001.pdf;1197899;fmt/18;sha256
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000001210.pdf;458505;fmt/18;sha256
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001211.pdf;11688979;fmt/18;sha256
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001212.pdf;5388756;fmt/18;sha256
