DossierId;Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Bestand_Vorm_Redactiegenre;Bestand_Formaat_Bestandsnaam;Bestand_Formaat_BestandsOmvang;Bestand_Formaat_BestandsFormaat;Bestand_Formaat_FysiekeIntegriteit_Algoritme;Bestand_Formaat_FysiekeIntegriteit_Waarde;Bestand_Formaat_FysiekeIntegriteit_DatumEnTijd;Bestand_Formaat_DatumAanmaak
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000001210.pdf;458505;fmt/18;sha256;e508e9a83312c690565fb182573e8e3c9665e4125c15457002da3301da46585e;30-7-2015 15:20;20-08-2012
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001211.pdf;11688979;fmt/18;sha256;cfac5b22003fc028854f4692ded5c5c809871739446fc4ed48fac3334d57edc6;30-7-2015 15:20;20-08-2012
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001212.pdf;5388756;fmt/18;sha256;ff92a049458b23318a634fc1df5e946de38dfc294d40059ca68bcf26a9704f4d;30-7-2015 15:20;20-08-2012
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001213.pdf;16934598;fmt/18;sha256;e153ebce10e862d041bd85dfb5fc1395b88f27c6d7b6cb827f9fe58dcd091008;30-7-2015 15:19;20-08-2012
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000001214.pdf;3083545;fmt/18;sha256;f478cf87412decb323ebefcb483bddfc8496643fc76139ee309fcdaac1a482a9;30-7-2015 15:19;20-08-2012
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000001281.pdf;474426;fmt/18;sha256;9d539364afcdb0d2893118d7a47e7b6c31fbac12dd504b5a79b43cd760e9eb42;30-7-2015 15:10;20-08-2012
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001282.pdf;10565818;fmt/18;sha256;904c984a7d9b4b8ef24ecf169fb3da4b0e6964de883d313dda6b0144ea232076;30-7-2015 15:10;20-08-2012
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001283.pdf;11759281;fmt/18;sha256;82d4c931c967e185cf634d41bda1d48d295e317bcb5dbec71fb833b80407c199;30-7-2015 15:10;20-08-2012
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001284.pdf;30307600;fmt/18;sha256;d00e09105fcf393dbfc70344f500bbe736d802997e9298af9a6fa42ca11d70fd;30-7-2015 15:09;20-08-2012
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000001285.pdf;2697537;fmt/18;sha256;265e5166b735968e1464c1f0b499b30b0c44981f4d5eb9c14d6760f138031fe7;30-7-2015 15:09;20-08-2012
